Program Name,Acronym,Agency Owner,Program Type,Budget,Contract Vehicle Used,Prime Contractor,Key Subcontractors,Period of Performance,Recompete Date,Incumbent Score,Related Jobs,COR/COTR,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle/Type,Key Locations,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance (Original),PoP End,PoP Start,Prime Contractor 1,Priority Level,Program Manager,Security Requirements,Source Evidence,Technical Stack,Typical Roles
Intelligence Community Infrastructure Support,I2TS-Next,Army,Intel,,,,,,,,,,TS/SCI,High,,,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),,,,Multi-year,,,Jacobs,High,,,INSCOM I2TS-Next history,,IT support; cyber security; helpdesk; systems tech
Intelligence Systems Enterprise Operations,ISEO,DIA,Intel,,,,,,,,,,TS/SCI,High,,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),,,,Multi-year,,,Leidos,High,,,AI-playbook sample,,IT support; help desk; desktop; local/remote IT sustainment
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Intel,,,,,,,,,,"Secret, TS/SCI",High,$406M,INTELLIGENCE INFRASTRUCTURE MODERNIZATION,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,,,,2023–2028,2028,2023,Northrop Grumman,High,,,“Northrop programs supported by Prime”,,RMF SMEs; STIG/Cyber Analysts
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,C5ISR,,,,,,,,,,"Secret, Top Secret",Medium,,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,,,,Multi-year,,,Multiple,Medium,,,Row text,,C2 engineers; JADC2 integrators
IRFS-MIES,IRFS-MIES,DoD,IT Ops,,,,,,,,,,Secret,Medium,,RECOMPETE,,“IRFS-MIES”,,,,,Upcoming,,,,Medium,,,Row,,IT operations
ISIS (Navy),ISIS (Navy),Navy,C5ISR,,,,,,,,,,Secret,Medium,,PROGRAM,NAVWAR,“ISIS-Navy”,,,,,Ongoing,Ongoing,,,Medium,,,Row,,ISR/IT specialists
IT CROP (Bowhead),IT CROP,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Multi-year,,,Bowhead,Medium,,,Medium,,“IT CROP Bowhead”
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,IT Ops,,,,,,,,,,Secret,High,$880M,Task Order,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),,,,2019–2026,2026,2019,CACI,High,,,Provided,,Agile developers; cybersecurity; trainers; network support
ITES-3S,ITES-3S,Army,IT Ops,,,,,,,,,,Secret,High,$12.1B,IDIQ,Global,“Army IT”,Numerous,,,,2018–2027,2027,2018,135 primes,High,,,Provided,,Enterprise IT services; cyber; network ops
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,IT Ops,,,,,,,,,,"Public Trust, Secret",High,$6B,IDIQ,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),,,,2017–2026,2026,2017,Multiple (MA-IDIQ pool),High,,,Provided,,Help desk; application support; network ops; admin
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Cyber,,,,,,,,,,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",,,,2024–2029 (opts to 2034),2029,2024,Multiple (IDIQ MA pool),High,,,electrosoft-inc.com citation,,Network & telecom services; cyber security; PM; cloud hosting
JGLASS II – Shared Services,JGLASS II,DHS,IT Ops,,,,,,,,,,Public Trust,Medium,,Services,NCR,“Shared services”,,,,,Multi-year,,,Peraton / SAIC (indicative),Medium,,,Provided,,Enterprise shared services; IT admin
Joint Staff J7 Support,JS J7,DoD,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$50M,IDIQ,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,,,,Multi-year,,,HII,High,,,J7 TO descriptions,,LVC integrators; red-cell analysts; M&S engineers; ISSO
Joint Tactical Ground Station,JTAGS,Army,Weapon Systems,,,,,,,,,,"Secret, Top Secret",High,Multi-$M,IDIQ,Colorado Springs CO; Germany; Redondo Beach CA,“JTAGS – early missile warning (IR satellite)”,Prime TS (sub),,,,2015–Ongoing,Ongoing,2015,Northrop Grumman,High,,,Prime TS past performance,,Tactical SW engineers; SIGINT SMEs
Joint Tactical Ground Station Early Warning,JTAGS,Army,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,,OPS & SUSTAINMENT,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,,,,Multi-year,,,Northrop (prime/sub),High,,,Provided,,SW engineers; SIGINT analysts; logistics continuity
Joint Tactical Ground Station System,JTAGS,Army,Weapon Systems,,,,,,,,,,"Secret, Top Secret",High,$600M,Services,Colorado Springs; Germany; Redondo Beach,“JTAGS; missile warning; IR satellite”,Raytheon; Boeing (legacy),,,,2010–2030 est.,2030,2010,Northrop Grumman,High,,,Past performance documentation,,Tactical SW dev; SIGINT analysis
Joint Tactical Ground Stations,JTAGS,Space Force,Intel,,,,,,,,,,TS/SCI,High,Multi-$M,SATELLITE EARLY WARNING,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,,,,Ongoing,Ongoing,,Northrop Grumman,High,,,“Northrop Programs Supported by Prime”,,SW engineers; SIGINT SMEs
Joint Warfighting Cloud Capability,JWCC,DoD,IT Ops,,,,,,,,,,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,,,,2022–2027,2027,2022,AWS; Microsoft; Google; Oracle,High,,,JWCC summary lines,,Cloud migration; platform engineering; zero-trust integration
JSP Enterprise IT,JSP,DoD,IT Ops,,,,,,,,,,TS/SCI,High,$190M,,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),,,,Multi-year,,,CACI,High,,,JSP BD capture notes,,Classified helpdesk; VTC; desktop support
JSP ETM (Pentagon IT),JSP ETM,DoD,IT Ops,,,,,,,,,,"Secret, TS/SCI",High,$190M,,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,,,,Multi-year,,,CACI,High,,,Provided,,Helpdesk; classified VTC; classified desktop support
Justified (SAP Security),Justified,Air Force,,,,,,,,,,,TS/SCI,Medium,,Services,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),,,,Multi-year,,,SAIC (inferred),Medium,,,Provided,,SAP admins; ISSO; SAP security leads
Justified SAP Security Contract,needs-scrape,Air Force,Cyber,,,,,,,,,,Top Secret,Medium,,SAP,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,,,,needs-scrape,,,needs-scrape,Medium,,,Provided,,Program security; ISSO roles
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,Cyber,,,,,,,,,,TS/SCI,Medium,,O&M / CYBERSECURITY,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,,,,needs-scrape,,,Booz Allen Hamilton,Medium,,,Hiring trend heatmap,,SAP Security Engineer; ISSO; ISSM
JWCC – ATAT Expansion Path,JWCC,DISA,IT Ops,,,,,,,,,,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),,,,2023–2028,2028,2023,AWS; Microsoft; Google; Oracle,Medium,,,Provided text,,Cloud integration leads; policy enforcement; multi-cloud operations
Kennedy Space Center BOSS,KSC BOSS,NASA,IT Ops,,,,,,,,,,"Public Trust, Secret",Medium,,BOS,Kennedy Space Center FL,“Base ops support”,Multiple,,,,Ongoing,Ongoing,,Jacobs / Amentum (past),Medium,,,Provided,,Facility operations; IT ops
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,IT Ops,,,,,,,,,,Top Secret,High,,Services,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,,,,Multi-year,,,GDIT,High,,,Verified job postings,,VTC engineers; AV technicians; unified comms
LANL/NNSA VTC Support,,NSA,IT Ops,,,,,,,,,,Top Secret,High,,Services,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,,,,Multi-year,,,GDIT,High,,,Verified job references,,VTC engineer; unified comms; AV/telepresence
LATERALUS (IC Space ISR),LATERALUS,NSA,Intel,,,,,,,,,,TS/SCI w/ Poly,High,$100M,O&M / DEV (CLASSIFIED),CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,,,,,Multi-year,,,Raytheon,High,,,Provided,,Satellite ops engineers; intel analysts; O&M staff
LATERALUS (Space ISR),LATERALUS,NSA,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,,O&M / ENHANCEMENTS,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),,,,Multi-year,,,Raytheon,Medium,,,Provided,,O&M staff; sysadmins; intel exploitation analysts
LOGCAP V,LOGCAP V,Army,Logistics,,,,,,,,,,"Public Trust, Secret",Medium,$82B,IDIQ,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,,,,2019–2029,2029,2019,KBR; V2X; Fluor; Amentum,Medium,,,Provided,,Base ops; supply; transportation; life support
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,Logistics,,,,,,,,,,"Public Trust, Secret",Medium,$82B,IDIQ,Global,“LOGCAP V… global subcontractor networks”,Large local networks,,,,2019–2029,2029,2019,KBR; V2X; Fluor; Amentum,Medium,,,Provided,,Base ops; supply; facilities
LRAAM (Long Range AAM),LRAAM,Air Force,Weapon Systems,,,,,,,,,,Secret,Medium,,R&D,Tucson AZ,“Long-range AAM”,Northrop,,,,Ongoing,Ongoing,,Raytheon (indicative),Medium,,,Row text,,AAM engineers; missile systems developers
MAGIU (Navy/AF),MAGIU,Air Force,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Multi-year,,,,Medium,,,Medium,,“MAGIU”
MAIMIS (indicative),MAIMIS,Army,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Multi-year,,,,Medium,,,Medium,,“MAIMIS”
Managed IT Services (USTRANSCOM),MITS,DoD,IT Ops,,,,,,,,,,"Secret, Top Secret",Medium,$150M,Single Award,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),,,,2021–2026,2026,2021,SAIC,Medium,,,Provided,,Service desk; admins; cyber analysts
Marine Corps Enterprise Network,MCEN,Marines,IT Ops,,,,,,,,,,Secret,Medium,,ENTERPRISE IT,Marine bases,“USMC network”,,,,,Ongoing,Ongoing,,Leidos / GDIT,Medium,,,Provided,,NetOps; cyber; enterprise IT technicians
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Weapon Systems,,,,,,,,,,Secret,Low,,PROGRAM,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,,,,,Multi-year,,,Raytheon (indicative),Low,,,Provided,,Systems/seeker engineering; test; manufacturing
Mark 710 (context unclear),Mark-710,Navy,Weapon Systems,,,,,,,,,,Secret,Low,,PROGRAM,,“Mark-710”,,,,,Multi-year,,,,Low,,,Provided,,Weapons techs; assembly
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,,“Mark-48 Torpedo…”,,,,,Multi-year,,,,Medium,,,High,,Torpedo assembly; electronics
Mark-710 (sub-program reference),Mark-710,Navy,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,,“Mark-710…”,,,,,Multi-year,,,,Medium,,,High,,Weapon assembly technicians
MDA Tactical Embedded Systems,,MDA,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,,,,Multi-year,,,Northrop Grumman,Medium,,,High,,Embedded SW engineers; C++; tactical missile SW
MHS GENESIS (DHMSM),DHMSM,DoD,Health IT,,,,,,,,,,Secret,Medium,$4.3B,IDIQ,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,,,,2015–2030,2030,2015,Leidos,Medium,,,Provided text,,Clinical trainer; IT support; workflow analyst; EHR migration
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,IT Ops,,,,,,,,,,"Public Trust, Secret",Medium,,PRIME INTEGRATION PROGRAM,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,,,,,2015–Present,Ongoing,2015,Leidos,Medium,,,Provided,,Clinical help desk; applications support; site support technicians
Minuteman III Missile Program,Minuteman III,Air Force,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,NSWC Crane; NSWC Newport,“Minuteman 3 missile… mechanical and electronic assembly teams”,,,,,Multi-year,,,,Medium,,,Provided,,Missile assembly; electronics techs; weapons sustainment
Mission Partner Environment,MPE,DoD,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$5.6B,BPA,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,,,,2022–Present,Ongoing,2022,GDIT,High,,,Provided,,Coalition network engineers; CDS admins; field support teams
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Professional Services,,,,,,,,,,Secret,Medium,,MULTI-YEAR,Secret → TS/SCI,C5ISR / IT Ops,,,,,Springfield VA; Tampa FL; coalition sites,,,GDIT,Medium,,,Medium,,“Global coalition network mission (MPE)”
Mission Partner Environment (successor to BICES),MPE,DoD,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$5.6B,BPA,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,,,,2022–Present,Ongoing,2022,GDIT,High,,,Successor contract description,,Coalition network engineers; CDS administrators; field support teams
MK 48 Torpedo Program,MK 48,Navy,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,NSWC Crane; NSWC Newport,“Mark48 torpedo… mechanical & electronic assembly teams”,,,,,Multi-year,,,,Medium,,,Provided description,,Mechanical assembly techs; electronics techs; weapons assembly
MK 710 Weapons Program,MK 710,Navy,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,NSWC Crane; NSWC Newport,“Mark48… Mark710… mechanical & electronic build teams”,,,,,Multi-year,,,,Medium,,,Provided,,Mechanical/electrical weapons technicians
Modular Open Systems Approach,MOSA,Space Force,R&D,,,,,,,,,,Secret,Medium,,CONSORTIUM / EVENT-DRIVEN,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,,,,Multi-year,,,Multiple primes,Medium,,,Provided,,Chief engineers; PMs; open-architecture developers
MOJAVE / ACADIA,,NGA,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,,ENTERPRISE IT / DATA,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,,Multi-year,,,CACI (indicative),Medium,,,Provided reference,,Cloud engineer; data pipeline; GEOINT analyst
MPCO VMOD (Voice Modernization),VMOD,Army,IT Ops,,,,,,,,,,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,,,,2023–2028,2028,2023,CACI (indicative),Medium,,,Provided,,Voice engineers; telecom modernization
MSS Smart Systems (Palantir contract),MSS,Army,Intel,,,,,,,,,,TS/SCI,Low,,Services,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,,,,,Multi-year,,,Palantir,Low,,,Provided,,Data engineers; Palantir platform engineers; intel analysts; field support
Multi-Mission Command & Control,M2C2,MDA,C5ISR,,,,,,,,,,"Secret, TS/SCI",Medium,,R&D,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,,,,,Multi-year,,,Lockheed Martin / Raytheon,Medium,,,Provided,,C2 SW dev; embedded SW; Linux; systems engineering
NARSIL,NARSIL,DoD,Professional Services,,,,,,,,,,Secret,Medium,,MULTI-YEAR,TS/SCI,Intel / IT Ops,,,,,NCR,,,Peraton (indicative),Medium,,,High,,“High-value IDIQ… Peraton NARSIL”
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,,,,,Multi-year,,,Peraton,Medium,,,User portfolio references,,Data scientists; SW engineers; ML/AI researchers; systems engineers
NASA Enterprise Service Support Technology,NESST,NASA,IT Ops,,,,,,,,,,"Public Trust, Secret",Low,,Services,NASA centers,“NASA IT”,,,,,Multi-year,,,SAIC / Leidos (indicative),Low,,,Provided,,EUS support; deskside; enterprise IT
NASA ETIS III,ETIS III,NASA,IT Ops,,,,,,,,,,,Medium,,Single Award,Goddard MD,“NASA ETIS III… Northrop prime… Peraton sub”,Peraton (major sub),,,,2016–2023,2023,2016,Northrop Grumman,Medium,,,Provided,,Test engineers; integration specialists
NASA SENSE (Space Comms & Tracking),SENSE,NASA,IT Ops,,,,,,,,,,Secret,Medium,$1.8B,Services,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,,,,2019–2029,2029,2019,Peraton,Medium,,,High,,Network ops; RF; sustainment
NASA SEWP,SEWP,NASA,IT Ops,,,,,,,,,,"Public Trust, Secret",Medium,,GWAC,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,,,,Ongoing,Ongoing,,Multiple,Medium,,,Provided,,Hardware/software procurement; IT services; cloud
NASA Space Network Evolution,SENSE,NASA,C5ISR,,,,,,,,,,Secret,High,$1.8B,Single Award,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,,,,2019–2028,2028,2019,Peraton,High,,,Provided,,Satellite comm engineers; network technicians
NASA SUSE (indicative),SUSE,NASA,IT Ops,,,,,,,,,,Public Trust,Low,,PROGRAM,NASA,“NASA SUSE”,,,,,Multi-year,,,,Low,,,Row text,,IT ops; system support
NASIC Radar Analysis Program,NASIC Radar,Air Force,Intel,,,,,,,,,,Top Secret,Medium,,Services,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,,,,,Multi-year,,,Ball Aerospace,Medium,,,Provided,,Radar engineers; data analysts
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,IT Ops,,,,,,,,,,Secret,Medium,,Services,Pax River MD,“NAVAIR Flight Ops – Pax River”,,,,,Multi-year,,,Vertex Aerospace,Medium,,,Provided,,Flight ops analysts; schedulers; IT support
Navy Aegis Combat System Modernization,AEGIS,Navy,C5ISR,,,,,,,,,,Secret,Medium,,IDIQ,Dahlgren VA; Moorestown NJ; shipyards,“Aegis”; “Combat System”; “Modernization”,,,,,Multi-year,,,Lockheed Martin,Medium,,,Top DoD-program reference set,,Systems engineers; combat system SW devs; integration & test
Navy Enterprise Service Desk,NESD,Navy,IT Ops,,,,,,,,,,Secret,Medium,$2.5B,,Norfolk VA; San Diego CA; distributed Navy NOCs,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,,,,Multi-year,,,Leidos,Medium,,,NESD job-posting context & NGEN-related notes,,Tier 1–3 service desk; Navy help desk; desktop support
Navy Marine Corps Intranet (legacy),NMCI,Navy,IT Ops,,,,,,,,,,Secret,Medium,,Services,"Multiple Navy & USMC bases (Norfolk, San Diego, etc.)",“NMCI”; “very large program”; “N Gen supporting NMCI”,TEKsystems; SB IT subs; others,,,,Historical (pre-NGEN-R),,,HP Enterprise (legacy prime – assumed),Medium,,,NMCI notes used as context for NGEN-R,,Network engineers; helpdesk; desktop support; field service techs
NETSS (Recompete),NETSS,DoD,IT Ops,,,,,,,,,,Secret,Medium,,RECOMPETE,,“NETSS”,,,,,Upcoming,,,,Medium,,,Medium,,IT ops
Next Generation Interceptor,NGI,MDA,R&D,,,,,,,,,,"Secret, TS/SCI",High,$13B,R&D,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,,,,2021–2035 (est.),2035,2021,Northrop Grumman & Boeing,High,,,GBSD Notebook; NGI BD references,,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC
Next-Gen Command & Control Prototype,NGC2,Army,C5ISR,,,,,,,,,,Secret,Medium,$100M,OTA,CONUS (not specified),“Anduril”; “C2 prototype”,,,,,2025 (11-month),,2025,Anduril Industries,Medium,,,Anduril OTA notes,,C2 engineers; integrators; rapid prototype team
NextGen GEO (Network/Ops),NGG,Space Force,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,,OPS & SUSTAINMENT,Boulder CO,"“OPIR, STIG, RMF; NextGen GEO ops”",,,,,Multi-year,,,Northrop Grumman,High,,,GEO Ops job description,,Network Eng; SysAdmin; Field Tech
Next-Gen GEO OPIR,NGG-OPIR,Space Force,Space,,,,,,,,,,TS/SCI,Medium,Multi-$B,SPACE ACQUISITION PROGRAM,Los Angeles; SSC Production,“Missile warning sats”,Northrop (payloads),,,,2018–Present,Ongoing,2018,Lockheed Martin,Medium,,,Program references,,Space systems engineers; payload engineers
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,C5ISR,,,,,,,,,,TS/SCI,Medium,Multi-$B,Production,El Segundo CA; Colorado Springs CO,"“Space C2, Missile Warning”",Multiple (needs-scrape),,,,Multi-year,,,Northrop Grumman,Medium,,,OPIR workforce analysis,,Payload SW/SE; Ground Ops; Data Exploitation
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Space,,,,,,,,,,TS/SCI,Medium,,CLASSIFIED SPACE PROGRAM,SSC / Los Angeles; Colorado Springs,“Classified satellite program; TS/SCI engineers”,,,,,Multi-year,,,Northrop Grumman,Medium,,,Provided notes,,Payload Eng; Ground Systems; Space Sensor Dev
NGA Enterprise Engineering,NEE,NGA,Intel,,,,,,,,,,TS/SCI,Medium,$824M,Single Award,Springfield VA; St. Louis MO,“NGA NEE $824M”,,,,,2019–2025,2025,2019,Peraton (Perspecta heritage),Medium,,,High,,Cloud engineers; enterprise architects; GEOINT IT
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,$500M,ENTERPRISE IT / DATA,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI & poly”,,,,,Multi-year,,,CACI,Medium,,,Provided,,Cloud engineers; data pipeline; GEOINT analysts
NGEN (Legacy Reference),NGEN,Navy,IT Ops,,,,,,,,,,Secret,Medium,$3B,IDIQ,Quantico; Norfolk,“Predecessor to NGEN-R”,,,,,Completed / Recompeted,,,HP; Leidos (legacy primes),Medium,,,Provided,,Service desk; network ops
NGEN-R — Enterprise Network Program,NGEN-R,Navy,IT Ops,,,,,,,,,,Secret,High,$7.7B,IDIQ,Norfolk; San Diego; global Navy/USMC,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,,,,~2019–2028,2028,2019,Leidos,High,,,Provided,,Help desk; field tech; network admin
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,IT Ops,,,,,,,,,,"Public Trust, Secret, Top Secret",High,$7.7B,IDIQ,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,,,~2020–2028 (8–8.5 years),2028,2020,Leidos,High,,,Consolidated from all NGEN-R SMIT rows in this batch,,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,IT Ops,,,,,,,,,,Secret,High,$7.7B,IDIQ,Navy/USMC worldwide,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",,,,2020–2028,2028,2020,Leidos,High,,,Reference pointer,,Enterprise IT; help desk; NetOps; cyber
NGI – Next Generation Interceptor,NGI,MDA,R&D,,,,,,,,,,"Secret, TS/SCI",High,$13B,R&D,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”; “NGI MBSE and propulsion/flight engineers”; GBSD overlap,Raytheon; Aerojet Rocketdyne,,,,~2021–2035 (est.),2035,2021,Northrop Grumman / Boeing (team),High,,,NGI past-performance and notebook references,,MBSE leads; propulsion/flight engineers; guidance & control engineers; missile systems engineers
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,C5ISR,,,,,,,,,,TS/SCI,High,Multi-$B,Production,SSC; Colorado Springs,(See Batch 1),multiple,,,,multi-year,,,Northrop Grumman,High,,,reference pointer,,Space payloads; C2; missile-warning exploitation
NIH IAPD (indicative),IAPD,DoD,Data,,,,,,,,,,Public Trust,Medium,,PROGRAM,NIH (Bethesda + remote),“NIH program”; “IAPD”,,,,,Multi-year,,,,Medium,,,Row text,,Data/IT engineers; analysts; application support
NISC (indicative),NISC,DoD,IT Ops,,,,,,,,,,Public Trust,Medium,,RECOMPETE,,“NISC”,,,,,Upcoming,,,,Medium,,,Row text,,IT ops; general IT support
NIWC Pacific (placeholder),NIWC PAC,Navy,C5ISR,,,,,,,,,,Secret,Low,,PROGRAM,San Diego CA (NIWC Pac),“NIWC PAC”,,,,,Ongoing,Ongoing,,,Low,,,Row (no extra detail),,C5ISR / IT engineers; RF / network roles
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,C5ISR,,,,,,,,,,TS/SCI w/ Poly,High,$455M,Single Award,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,,,~2020–2026/27,2026,2020,Jacobs,High,,,Consolidated from all NISSC II rows in this batch,,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support
NRO Ground Systems DevOps (Seal Beach),,NRO,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,,Services,Seal Beach CA,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,,,,Multi-year,,,Boeing,Medium,,,Row text,,DevOps engineers; CI/CD & infra automation for NRO ground systems
NSST (Navy),NSST,Navy,C5ISR,,,,,,,,,,Secret,Medium,,PROGRAM,Navy training commands,“NSST”,,,,,Multi-year,,,,Medium,,,Row text,,Trainers; simulator/IT technicians
NTT Applications & BPS Support,,DoD,IT Ops,,,,,,,,,,"Public Trust, Secret",Medium,,Services,Texas; remote CONUS,“NTT Data”; “Applications”; “BPS Tech Stack”,,,,,Multi-year,,,NTT DATA,Medium,,,NTT Tech Stack document,,Application engineers; business analysts; apps/BPS support
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,Consulting,,,,,,,,,,"Public Trust, Secret",Medium,,Services,U.S. – Heredia CR; Atlanta GA; remote,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,,,,Active postings (2025),,2025,NTT DATA,Medium,,,NTT BPS/Apps Tech-Stack docs,,"Enterprise architects; solution architects (BPS, applications)"
