Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base Contract Value (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),FPDS NAICS Code,FPDS PSC Code,NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Joint Tactical Ground Stations,JTAGS,Space Force,nan,TS/SCI,High,Multi-$M,nan,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,nan,nan,Northrop Grumman,Intel,nan,“Northrop Programs Supported by Prime”,SW engineers; SIGINT SMEs,FA821920C0006,JTAGS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Joint Warfighting Cloud Capability,JWCC,DoD,High,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,Target,"January 1, 2022 → January 1, 2027",AWS; Microsoft; Google; Oracle,IT Ops,nan,JWCC summary lines,Cloud migration; platform engineering; zero-trust integration,W91CRB20F0448,JWCC,High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
JSP Enterprise IT,JSP,DoD,nan,TS/SCI,High,$190M,nan,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),nan,nan,CACI,IT Ops,nan,JSP BD capture notes,Classified helpdesk; VTC; desktop support,47QFRA19F0011,JSP,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
JSP ETM (Pentagon IT),JSP ETM,DoD,nan,"Secret, TS/SCI",High,$190M,nan,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,nan,nan,CACI,IT Ops,nan,Provided,Helpdesk; classified VTC; classified desktop support,GSQ0017AJ0006,JSP ETM,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Justified (SAP Security),Justified,Air Force,nan,TS/SCI,Medium,nan,nan,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),nan,nan,SAIC (inferred),nan,nan,Provided,SAP admins; ISSO; SAP security leads,FA877319FA023,Justified,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Justified SAP Security Contract,needs-scrape,Air Force,nan,Top Secret,Medium,nan,nan,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,nan,nan,needs-scrape,Cyber,nan,Provided,Program security; ISSO roles,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,nan,TS/SCI,Medium,nan,nan,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,nan,nan,Booz Allen Hamilton,Cyber,nan,Hiring trend heatmap,SAP Security Engineer; ISSO; ISSM,47QFCA21F0018,needs-scrape,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),nan,"January 1, 2023 → January 1, 2028",AWS; Microsoft; Google; Oracle,IT Ops,nan,Provided text,Cloud integration leads; policy enforcement; multi-cloud operations,W91CRB20F0448,JWCC,High,4,,,,,,,,,,,,,,,,,,,,,Not Queried
Kennedy Space Center BOSS,KSC BOSS,NASA,nan,"Public Trust, Secret",Medium,nan,nan,Kennedy Space Center FL,“Base ops support”,Multiple,nan,nan,Jacobs / Amentum (past),IT Ops,nan,Provided,Facility operations; IT ops,NNK13MA14C,KSC BOSS,High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,nan,Top Secret,High,nan,nan,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,nan,nan,GDIT,IT Ops,nan,Verified job postings,VTC engineers; AV technicians; unified comms,19AQMM18C0185,LANL VTC,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
LANL/NNSA VTC Support,nan,NSA,nan,Top Secret,High,nan,nan,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,nan,nan,GDIT,IT Ops,nan,Verified job references,VTC engineer; unified comms; AV/telepresence,19AQMM18C0185,nan,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
LATERALUS (IC Space ISR),LATERALUS,NSA,nan,TS/SCI w/ Poly,High,$100M,nan,CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,nan,nan,nan,Raytheon,Intel,nan,Provided,Satellite ops engineers; intel analysts; O&M staff,N0001918C1021,LATERALUS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
LATERALUS (Space ISR),LATERALUS,NSA,nan,TS/SCI w/ Poly,Medium,nan,nan,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),nan,nan,Raytheon,Intel,nan,Provided,O&M staff; sysadmins; intel exploitation analysts,N0001918C1021,LATERALUS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
LOGCAP V,LOGCAP V,Army,nan,"Public Trust, Secret",Medium,$82B,nan,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,nan,nan,KBR; V2X; Fluor; Amentum,Logistics,nan,Provided,Base ops; supply; transportation; life support,W52P1J19F0394,LOGCAP V,High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,nan,"Public Trust, Secret",Medium,$82B,nan,Global,“LOGCAP V… global subcontractor networks”,Large local networks,nan,nan,KBR; V2X; Fluor; Amentum,Logistics,nan,Provided,Base ops; supply; facilities,W52P1J19F0394,LOGCAP V,High,8,,,,,,,,,,,,,,,,,,,,,Not Queried
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Secret,Medium,nan,R&D,Tucson AZ,“Long-range AAM”,Northrop,Target,nan,Raytheon (indicative),Weapon Systems,nan,Row text,AAM engineers; missile systems developers,FA861108C2896,LRAAM,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Managed IT Services (USTRANSCOM),MITS,DoD,nan,"Secret, Top Secret",Medium,$150M,nan,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),nan,nan,SAIC,IT Ops,nan,Provided,Service desk; admins; cyber analysts,FA251822F0034,MITS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Marine Corps Enterprise Network,MCEN,Marines,nan,Secret,Medium,nan,nan,Marine bases,“USMC network”,nan,nan,nan,Leidos / GDIT,IT Ops,nan,Provided,NetOps; cyber; enterprise IT technicians,19AQMM18C0185,MCEN,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Mark 48 Heavyweight Torpedo,Mk-48,Navy,nan,Secret,Low,nan,nan,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,nan,nan,nan,Raytheon (indicative),Weapon Systems,nan,Provided,Systems/seeker engineering; test; manufacturing,N0002422C5500,Mk-48,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Secret,Medium,nan,Program,NSWC Crane; NSWC Newport; Middletown RI,“Mark-48 Torpedo…”,nan,nan,nan,Raytheon (indicative),Weapon Systems,nan,High,Torpedo assembly; electronics,N0002422C5500,Mark-48,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
MDA Tactical Embedded Systems,nan,MDA,Medium,Secret,Medium,nan,Program,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,Target,nan,Northrop Grumman,Weapon Systems,nan,High,Embedded SW engineers; C++; tactical missile SW,HQ085621C0003,nan,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
MHS GENESIS (DHMSM),DHMSM,DoD,nan,Secret,Medium,$4.3B,nan,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,nan,nan,Leidos,Health IT,nan,Provided text,Clinical trainer; IT support; workflow analyst; EHR migration,HHSN261200800001E,DHMSM,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,nan,"Public Trust, Secret",Medium,nan,nan,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,nan,nan,nan,Leidos,IT Ops,nan,Provided,Clinical help desk; applications support; site support technicians,HHSN261200800001E,LPDH,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Mission Partner Environment,MPE,DoD,nan,"Secret, TS/SCI",High,$5.6B,nan,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,nan,nan,GDIT,C5ISR,nan,Provided,Coalition network engineers; CDS admins; field support teams,19AQMM18C0185,MPE,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,Secret,Medium,nan,Multi-Year,Secret → TS/SCI,C5ISR / IT Ops,nan,Target,nan,GDIT,Professional Services,nan,Medium,“Global coalition network mission (MPE)”,19AQMM18C0185,MPE / MPCO,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Mission Partner Environment (successor to BICES),MPE,DoD,nan,"Secret, TS/SCI",High,$5.6B,nan,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,nan,nan,GDIT,C5ISR,nan,Successor contract description,Coalition network engineers; CDS administrators; field support teams,19AQMM18C0185,MPE,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
Modular Open Systems Approach,MOSA,Space Force,nan,Secret,Medium,nan,nan,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,nan,nan,Multiple primes,R&D,nan,Provided,Chief engineers; PMs; open-architecture developers,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
MOJAVE / ACADIA,nan,NGA,nan,TS/SCI w/ Poly,Medium,nan,nan,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,nan,nan,nan,CACI (indicative),Intel,nan,Provided reference,Cloud engineer; data pipeline; GEOINT analyst,47QFCA20F0010,nan,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,nan,"January 1, 2023 → January 1, 2028",CACI (indicative),IT Ops,nan,Provided,Voice engineers; telecom modernization,W15QKN15C0049,VMOD,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
MSS Smart Systems (Palantir contract),MSS,Army,nan,TS/SCI,Low,nan,nan,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,nan,nan,nan,Palantir,Intel,nan,Provided,Data engineers; Palantir platform engineers; intel analysts; field support,W911QX24F0113,MSS,High,6,,,,,,,,,,,,,,,,,,,,,Not Queried
Multi-Mission Command & Control,M2C2,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,nan,nan,nan,Lockheed Martin / Raytheon,C5ISR,nan,Provided,C2 SW dev; embedded SW; Linux; systems engineering,N0001902C3002,M2C2,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NARSIL,NARSIL,DoD,nan,Secret,Medium,nan,nan,TS/SCI,Intel / IT Ops,nan,nan,nan,Peraton (indicative),Professional Services,nan,High,“High-value IDIQ… Peraton NARSIL”,47QFCA19F0033,NARSIL,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,nan,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,nan,Target,nan,Peraton,Intel,nan,User portfolio references,Data scientists; SW engineers; ML/AI researchers; systems engineers,80GSFC19C0063,NARSIL,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NASA Enterprise Service Support Technology,NESST,NASA,Low,"Public Trust, Secret",Low,nan,Services,NASA centers,“NASA IT”,nan,nan,nan,SAIC / Leidos (indicative),IT Ops,nan,Provided,EUS support; deskside; enterprise IT,NNJ09HD46C,NESST,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
NASA SENSE (Space Comms & Tracking),SENSE,NASA,nan,Secret,Medium,$1.8B,nan,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,nan,nan,Peraton,IT Ops,nan,High,Network ops; RF; sustainment,80GSFC19C0063,SENSE,High,4,,,,,,,,,,,,,,,,,,,,,Not Queried
NASA SEWP,SEWP,NASA,nan,"Public Trust, Secret",Medium,nan,nan,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,nan,nan,Multiple,IT Ops,nan,Provided,Hardware/software procurement; IT services; cloud,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
NASA Space Network Evolution,SENSE,NASA,nan,Secret,High,$1.8B,nan,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,nan,nan,Peraton,C5ISR,nan,Provided,Satellite comm engineers; network technicians,80GSFC19C0063,SENSE,High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
NASIC Radar Analysis Program,NASIC Radar,Air Force,nan,Top Secret,Medium,nan,nan,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,nan,nan,nan,Ball Aerospace,Intel,nan,Provided,Radar engineers; data analysts,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,nan,Secret,Medium,nan,nan,Pax River MD,“NAVAIR Flight Ops – Pax River”,nan,nan,nan,Vertex Aerospace,IT Ops,nan,Provided,Flight ops analysts; schedulers; IT support,NNK13MA14C,NAVAIR Flight Ops,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Navy Aegis Combat System Modernization,AEGIS,Navy,nan,Secret,Medium,nan,nan,Dahlgren VA; Moorestown NJ; shipyards,“Aegis”; “Combat System”; “Modernization”,nan,nan,nan,Lockheed Martin,C5ISR,nan,Top DoD-program reference set,Systems engineers; combat system SW devs; integration & test,N0001917C0001,AEGIS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Navy Enterprise Service Desk,NESD,Navy,nan,Secret,Medium,$2.5B,nan,Norfolk VA; San Diego CA; distributed Navy NOCs,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,nan,nan,Leidos,IT Ops,nan,NESD job-posting context & NGEN-related notes,Tier 1–3 service desk; Navy help desk; desktop support,89243318CFE000003,NESD,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Next Generation Interceptor,NGI,MDA,nan,"Secret, TS/SCI",High,$13B,nan,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,nan,nan,Northrop Grumman & Boeing,R&D,nan,GBSD Notebook; NGI BD references,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,HQ085621C0003,NGI,High,11,,,,,,,,,,,,,,,,,,,,,Not Queried
NextGen GEO (Network/Ops),NGG,Space Force,nan,"Secret, TS/SCI",High,nan,nan,Boulder CO,"“OPIR, STIG, RMF; NextGen GEO ops”",nan,nan,nan,Northrop Grumman,C5ISR,nan,GEO Ops job description,Network Eng; SysAdmin; Field Tech,FA881018C0006,NGG,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,Production,El Segundo CA; Colorado Springs CO,"“Space C2, Missile Warning”",Multiple (needs-scrape),nan,nan,Northrop Grumman,C5ISR,nan,OPIR workforce analysis,Payload SW/SE; Ground Ops; Data Exploitation,FA881018C0006,Next-Gen OPIR,High,4,,,,,,,,,,,,,,,,,,,,,Not Queried
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Medium,TS/SCI,Medium,nan,CLASSIFIED SPACE PROGRAM,SSC / Los Angeles; Colorado Springs,“Classified satellite program; TS/SCI engineers”,nan,Target,nan,Northrop Grumman,Space,nan,Provided notes,Payload Eng; Ground Systems; Space Sensor Dev,FA881018C0006,NG OPIR (classified),High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
NGA Enterprise Engineering,NEE,NGA,nan,TS/SCI,Medium,$824M,nan,Springfield VA; St. Louis MO,“NGA NEE $824M”,nan,nan,nan,Peraton (Perspecta heritage),Intel,nan,High,Cloud engineers; enterprise architects; GEOINT IT,80GSFC19C0063,NEE,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,nan,TS/SCI w/ Poly,Medium,$500M,nan,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI & poly”,nan,nan,nan,CACI,Intel,nan,Provided,Cloud engineers; data pipeline; GEOINT analysts,47QFRA19F0011,MOJAVE / ACADIA,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
NGEN-R — Enterprise Network Program,NGEN-R,Navy,nan,Secret,High,$7.7B,nan,Norfolk; San Diego; global Navy/USMC,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,nan,nan,Leidos,IT Ops,nan,Provided,Help desk; field tech; network admin,HHSN261200800001E,NGEN-R,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,nan,"Public Trust, Secret, Top Secret",High,$7.7B,nan,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,nan,nan,Leidos,IT Ops,nan,Consolidated from all NGEN-R SMIT rows in this batch,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,89243318CFE000003,NGEN-R SMIT,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,nan,Secret,High,$7.7B,nan,Navy/USMC worldwide,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",nan,nan,Leidos,IT Ops,nan,Reference pointer,Enterprise IT; help desk; NetOps; cyber,HHSN261200800001E,NGEN-R SMIT,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
NGOPIR / NGG / NGOPIR (already normalized — link row),nan,Space Force,nan,TS/SCI,High,Multi-$B,nan,SSC; Colorado Springs,(See Batch 1),multiple,nan,nan,Northrop Grumman,C5ISR,nan,reference pointer,Space payloads; C2; missile-warning exploitation,FA821920C0006,nan,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,nan,TS/SCI w/ Poly,High,$455M,nan,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),nan,nan,Jacobs,C5ISR,nan,Consolidated from all NISSC II rows in this batch,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,NNK13MA14C,NISSC II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
NRO Ground Systems DevOps (Seal Beach),nan,NRO,nan,TS/SCI w/ Poly,Medium,nan,nan,Seal Beach CA,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,nan,nan,nan,Boeing,Intel,nan,Row text,DevOps engineers; CI/CD & infra automation for NRO ground systems,FA821920C0006,nan,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
NTT Applications & BPS Support,nan,DoD,nan,"Public Trust, Secret",Medium,nan,nan,Texas; remote CONUS,“NTT Data”; “Applications”; “BPS Tech Stack”,nan,nan,nan,NTT DATA,IT Ops,nan,NTT Tech Stack document,Application engineers; business analysts; apps/BPS support,HHSN316201500016W,nan,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
NTT DATA Enterprise Architecture (BPS / Apps),nan,DoD,nan,"Public Trust, Secret",Medium,nan,nan,U.S. – Heredia CR; Atlanta GA; remote,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,nan,nan,nan,NTT DATA,Consulting,nan,NTT BPS/Apps Tech-Stack docs,"Enterprise architects; solution architects (BPS, applications)",HHSN316201500016W,nan,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
OASIS+ Multi-Agency Services,OASIS+,DoD,Medium,"Public Trust, Secret, Top Secret",Medium,Multi-$B,GWAC,Nationwide,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,Target,nan,Multi-award primes,Professional Services,nan,GSA references,Eng services; PM; acquisition; R&D; analysis,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
OASIS+ Services (Already normalized),OASIS+,DoD,Medium,"Public Trust, Top Secret",Medium,Multi-$B,GWAC,Nationwide,OASIS+,multiples,nan,nan,multiples,Professional Services,nan,Pointer,Eng/Prof services,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,nan,"Public Trust, Secret",Medium,$116.7M,nan,Pentagon; Mark Center; Crystal City,“LMI… $116.7M… admin & analytic support”,SB surge partners,nan,nan,LMI,Professional Services,nan,OUSD(A&S) description,Admin assistants; analysts; PM support,N0001917C0001,OUSD(A&S) PSS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,nan,"Public Trust, Secret",High,$1.8B,nan,Pentagon / NCR / CONUS,“PRISM IDIQ”; “surge staffing”,Many teaming partners,nan,nan,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",Professional Services,nan,Consolidated from all PRISM rows,Analysts; trainers; HR support; admin,47QFCA21F0018,PRISM,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
