Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,,Secret,Medium,,,Pax River MD,“NAVAIR Flight Ops – Pax River”,,,,Vertex Aerospace,IT Ops,,Provided,Flight ops analysts; schedulers; IT support
Navy Aegis Combat System Modernization,AEGIS,Navy,,Secret,Medium,,,Dahlgren VA; Moorestown NJ; shipyards,“Aegis”; “Combat System”; “Modernization”,,,,Lockheed Martin,C5ISR,,Top DoD-program reference set,Systems engineers; combat system SW devs; integration & test
Navy Enterprise Service Desk,NESD,Navy,,Secret,Medium,$2.5B,,Norfolk VA; San Diego CA; distributed Navy NOCs,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,,,Leidos,IT Ops,,NESD job-posting context & NGEN-related notes,Tier 1–3 service desk; Navy help desk; desktop support
Navy Marine Corps Intranet (legacy),NMCI,Navy,,Secret,Medium,,,"Multiple Navy & USMC bases (Norfolk, San Diego, etc.)",“NMCI”; “very large program”; “N Gen supporting NMCI”,TEKsystems; SB IT subs; others,,,HP Enterprise (legacy prime – assumed),IT Ops,,NMCI notes used as context for NGEN-R,Network engineers; helpdesk; desktop support; field service techs
NETSS (Recompete),NETSS,DoD,,Secret,Medium,,,,“NETSS”,,,,,IT Ops,,Medium,IT ops
Next Generation Interceptor,NGI,MDA,,"Secret, TS/SCI",High,$13B,,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,,,Northrop Grumman & Boeing,R&D,,GBSD Notebook; NGI BD references,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC
Next-Gen Command & Control Prototype,NGC2,Army,Medium,Secret,Medium,$100M,OTA,CONUS (not specified),“Anduril”; “C2 prototype”,,Target,"January 1, 2025",Anduril Industries,C5ISR,,Anduril OTA notes,C2 engineers; integrators; rapid prototype team
NextGen GEO (Network/Ops),NGG,Space Force,,"Secret, TS/SCI",High,,,Boulder CO,"“OPIR, STIG, RMF; NextGen GEO ops”",,,,Northrop Grumman,C5ISR,,GEO Ops job description,Network Eng; SysAdmin; Field Tech
Next-Gen GEO OPIR,NGG-OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,SPACE ACQUISITION PROGRAM,Los Angeles; SSC Production,“Missile warning sats”,Northrop (payloads),Target,"January 1, 2018",Lockheed Martin,Space,,Program references,Space systems engineers; payload engineers
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,Production,El Segundo CA; Colorado Springs CO,"“Space C2, Missile Warning”",Multiple (needs-scrape),None,,Northrop Grumman,C5ISR,,OPIR workforce analysis,Payload SW/SE; Ground Ops; Data Exploitation
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Medium,TS/SCI,Medium,,CLASSIFIED SPACE PROGRAM,SSC / Los Angeles; Colorado Springs,“Classified satellite program; TS/SCI engineers”,,Target,,Northrop Grumman,Space,,Provided notes,Payload Eng; Ground Systems; Space Sensor Dev
NGA Enterprise Engineering,NEE,NGA,,TS/SCI,Medium,$824M,,Springfield VA; St. Louis MO,“NGA NEE $824M”,,,,Peraton (Perspecta heritage),Intel,,High,Cloud engineers; enterprise architects; GEOINT IT
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,,TS/SCI w/ Poly,Medium,$500M,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI & poly”,,,,CACI,Intel,,Provided,Cloud engineers; data pipeline; GEOINT analysts
NGEN (Legacy Reference),NGEN,Navy,,Secret,Medium,$3B,,Quantico; Norfolk,“Predecessor to NGEN-R”,,,,HP; Leidos (legacy primes),IT Ops,,Provided,Service desk; network ops
NGEN-R — Enterprise Network Program,NGEN-R,Navy,,Secret,High,$7.7B,,Norfolk; San Diego; global Navy/USMC,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,,,Leidos,IT Ops,,Provided,Help desk; field tech; network admin
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,,"Public Trust, Secret, Top Secret",High,$7.7B,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,,Leidos,IT Ops,,Consolidated from all NGEN-R SMIT rows in this batch,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,,Secret,High,$7.7B,,Navy/USMC worldwide,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",,,Leidos,IT Ops,,Reference pointer,Enterprise IT; help desk; NetOps; cyber
NGI – Next Generation Interceptor,NGI,MDA,High,"Secret, TS/SCI",High,$13B,R&D,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”; “NGI MBSE and propulsion/flight engineers”; GBSD overlap,Raytheon; Aerojet Rocketdyne,Target,"January 1, 2021 → January 1, 2035",Northrop Grumman / Boeing (team),R&D,,NGI past-performance and notebook references,MBSE leads; propulsion/flight engineers; guidance & control engineers; missile systems engineers
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,,TS/SCI,High,Multi-$B,,SSC; Colorado Springs,(See Batch 1),multiple,,,Northrop Grumman,C5ISR,,reference pointer,Space payloads; C2; missile-warning exploitation
NIH IAPD (indicative),IAPD,DoD,,Public Trust,Medium,,,NIH (Bethesda + remote),“NIH program”; “IAPD”,,,,,Data,,Row text,Data/IT engineers; analysts; application support
NISC (indicative),NISC,DoD,,Public Trust,Medium,,,,“NISC”,,,,,IT Ops,,Row text,IT ops; general IT support
NIWC Pacific (placeholder),NIWC PAC,Navy,Low,Secret,Medium,,Program,San Diego CA (NIWC Pac),“NIWC PAC”,,None,,,C5ISR,,Row (no extra detail),C5ISR / IT engineers; RF / network roles
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,,TS/SCI w/ Poly,High,$455M,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,,Jacobs,C5ISR,,Consolidated from all NISSC II rows in this batch,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support
NRO Ground Systems DevOps (Seal Beach),,NRO,,TS/SCI w/ Poly,Medium,,,Seal Beach CA,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,,,Boeing,Intel,,Row text,DevOps engineers; CI/CD & infra automation for NRO ground systems
NSST (Navy),NSST,Navy,,Secret,Medium,,,Navy training commands,“NSST”,,,,,C5ISR,,Row text,Trainers; simulator/IT technicians
NTT Applications & BPS Support,,DoD,,"Public Trust, Secret",Medium,,,Texas; remote CONUS,“NTT Data”; “Applications”; “BPS Tech Stack”,,,,NTT DATA,IT Ops,,NTT Tech Stack document,Application engineers; business analysts; apps/BPS support
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,,"Public Trust, Secret",Medium,,,U.S. – Heredia CR; Atlanta GA; remote,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,,,NTT DATA,Consulting,,NTT BPS/Apps Tech-Stack docs,"Enterprise architects; solution architects (BPS, applications)"
OASIS+ Multi-Agency Services,OASIS+,DoD,Medium,"Public Trust, Secret, Top Secret",Medium,Multi-$B,GWAC,Nationwide,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,Target,,Multi-award primes,Professional Services,,GSA references,Eng services; PM; acquisition; R&D; analysis
OASIS+ Services (Already normalized),OASIS+,DoD,Medium,"Public Trust, Top Secret",Medium,Multi-$B,GWAC,Nationwide,OASIS+,multiples,None,,multiples,Professional Services,,Pointer,Eng/Prof services
OFAC Payment / Trade Ops Data System,OFAC PTODS,Treasury,Medium,Public Trust,Medium,,FEDERAL SYSTEM,Washington DC,“OFAC system”,,None,,,Data,,Row text,Data engineers; financial systems IT
OFAC Payment/Trade Ops Data System (Already normalized),OFAC PTODS,Treasury,Medium,Public Trust,Medium,,SYSTEM,DC,OFAC,,None,,,Data,,Pointer,Data engineering
One-T (Recompete),One-T,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“One-T Recompete list”
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,,"Public Trust, Secret",Medium,$116.7M,,Pentagon; Mark Center; Crystal City,“LMI… $116.7M… admin & analytic support”,SB surge partners,,,LMI,Professional Services,,OUSD(A&S) description,Admin assistants; analysts; PM support
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon / NCR / CONUS,“PRISM IDIQ”; “surge staffing”,Many teaming partners,,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",Professional Services,,Consolidated from all PRISM rows,Analysts; trainers; HR support; admin
PAC-3 (Consolidated),PAC-3,Army,,Secret,High,Multi-$B,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,“PAC-3”; “Patriot”; “interceptor”,Raytheon; Boeing; Aerojet Rocketdyne,,,Lockheed Martin,Weapon Systems,,Consolidated from all PAC-3 rows,Missile engineering; assembly; test; RF engineering
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,,"Secret, TS/SCI",High,$10B,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,,Lockheed Martin Missiles & Fire Control,C5ISR,,Lockheed PAC-3 MSE Intelligence Reports,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,,"Secret, TS/SCI",High,$9.8B,,Camden AR; Grand Prairie TX; Huntsville AL,"“PAC-3 MSE record production, >500 missiles/yr”",Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,,Lockheed Martin,Weapon Systems,,HUMINT & BD Files,Manufacturing; missile eng; test; RF engineers; quality
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,High,"Secret, TS/SCI",High,$9.8B,IDIQ,Grand Prairie TX; Camden AR; Huntsville AL,"“PAC-3 MSE… 1,970 missiles… record year”",Boeing; L3Harris; Aerojet Rocketdyne,None,"January 1, 2024 → January 1, 2031",Lockheed Martin,Weapon Systems,,HUMINT and BD data,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,,TS/SCI w/ Poly,High,$889M,,Fort Eisenhower GA; Fort Meade MD,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,,,Peraton,Cyber,,Program listing,Cyber ops planners; IO/EW; mission support
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,,TS/SCI w/ Poly,High,$1B,,Reston VA; Fort Meade MD,“High-value IC IDIQ; automation; IC cyber/data fusion”,,,,Peraton,Cyber,,NARSIL references,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing
POD ARCYBER (Army Cyber Ops),POD ARCYBER,Army,,TS/SCI,Medium,,,Fort Gordon GA,“ARCYBER”,,,,,Cyber,,Row text,Cyber ops; IO
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,,Secret,High,$4.8B,,Poland; Huntsville AL labs,“WISŁA… IBCS portion ~$900M… Patriot batteries”,Polish PGZ; U.S. integrators,,,Raytheon & Northrop Grumman,C5ISR,,BD documents,Fielding; integration; training; IBCS engineering
PRISM Support Services (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon; NCR; CONUS,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,Numerous teaming partners,,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",IT Ops,,Program references,Admin; Program Analysts; Training; HR; data analysts
Project Convergence (JADC2 Experiments),PC,Army,,Secret,Medium,,,Yuma Proving Ground; Austin TX; labs,“SAIC… autonomy software engineers & data analysts”,Multiple (needs-scrape),,,SAIC,C5ISR,,BD notes,Autonomy SW; AI/ML analysts; JADC2 integration staff
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,,Secret,Medium,,,Colorado Springs (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,SATCOM references,RF Engineers; Crypto; SATCOM SMEs
Protected Tactical SatCom / Waveform,PTW,Space Force,,Secret,Medium,,,CO (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,L3Harris SATCOM references,RF engineers; crypto; SATCOM specialists
REACT (indicative),REACT,DoD,,Secret,Medium,,,Secret,Cyber,,,,,Professional Services,,Low,“REACT”
RUSHMORE,RUSHMORE,Space Force,,TS/SCI,High,,,Aurora CO (Buckley SFB),“Apex posting for NGC RUSHMORE team”,Apex Systems (staffing),,,Northrop Grumman,Space,,Apex & NGC job postings,Principal Java SW Engineer; C2/SATOPS SW
RUSHMORE (Already normalized),RUSHMORE,Space Force,High,TS/SCI,High,,Program,Aurora CO,RUSHMORE,Apex,Target,,Northrop,Space,,pointer,SW engineering
SCITLS,SCITLS,DoD,,Secret,Medium,,,CONUS,“SCITLS”,,,,GDIT,Logistics,,Provided,Logistics IT technicians
SCITLS (Already normalized),SCITLS,DoD,Medium,Secret,Medium,,Program,Secret,Logistics/IT,,None,,GDIT,Professional Services,,Medium,SCITLS
SCORPION (classified),SCORPION,DoD,Medium,TS/SCI,Medium,,CLASSIFIED PROGRAM,,“Listed in classified-support context”,,None,,CACI (context only),Cyber,,Low,Intel/Cyber
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,,TS/SCI,Medium,,,SDA Ops Center (likely),“Transport Layer / Tracking Layer primes”; “Peraton ground support suspected”,Peraton (suspected ground/ops sub),,,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",C5ISR,,Provided references,Satellite operators; network engineers; ground-system integrators
SeaPort Next Generation,SeaPort-NxG,Navy,,Secret,Medium,,,Navy worldwide,“SeaPort-NxG MAC”,Many engineering & IT subs,,,1023+ primes,C5ISR,,—,Systems engineering; logistics; SW; cyber
Sentinel / GBSD,GBSD,Air Force,High,"Secret, TS/SCI",High,,ICBM MODERNIZATION CONTRACT,Roy UT; Hill AFB; Ogden UT; SLC UT; CO Springs; Huntsville AL; Vandenberg; Redondo Beach CA; Brigham City UT,Sentinel; LGM-35A; GBSD,Bechtel; Aerojet; Lockheed,Target,"January 1, 2020 → January 1, 2036",Northrop Grumman,Weapon Systems,,“Sentinel Execution Strategy Guide – PTS”,Systems Eng Mgr; Cyber Eng; C2 SW Dev; Missile Propulsion; Depot Planners; Nuclear Surety
Sentinel / GBSD,GBSD,Air Force,,TS/SCI,High,$13B,,Hill AFB; Roy UT; Ogden UT,Sentinel; Minuteman III; ICBM,Insight Global; Apex; TEKsystems,,,Northrop Grumman,C5ISR,,“GBSD Strategy… Roy UT… TS/SCI…”,Systems Eng; ILS Lead; Missile Integration SME
Sentinel GBSD,GBSD,Air Force,,"Secret, Top Secret",High,$13.3B,,Ogden; Roy; Hill AFB,ICBM; Utah; C2; T&E,SAIC; Insight Global; Apex,,,Northrop Grumman,Weapon Systems,,“GBSD BD Strategy.pdf…”,Systems Eng; Cyber; Test; SW
Sentinel GBSD,GBSD,Air Force,High,"Secret, TS/SCI",High,,Production,Roy; Hill AFB; Ogden; Redondo Beach; CO Springs; Huntsville; El Segundo; Promontory; Elkton,Sentinel; LGM-35A; Digital Engineering; Strategic Deterrent,Aerojet; Textron; LMT; Bechtel; Clark; GD; Honeywell; L3Harris; CAE; Kratos; HDT,Target,,Northrop Grumman,Weapon Systems,,“Sentinel GBSD… Strategic Systems”,MBSE; SE&I; cyber; embedded SW; test; propulsion; logistics; supply chain; EVMS/CAM; QA; modeling
Sentinel GBSD,GBSD / Sentinel,Air Force,,"Secret, TS/SCI",High,$13.3B,,Roy; Hill; Ogden; Promontory; CO Springs,Minuteman III replacement,Insight Global; Apex; TEKsystems; Prime TS,,,Northrop Grumman,Weapon Systems,,“Sentinel HQ + sustainment at Hill/Roy/Ogden”,Systems Eng; SW; MBSE; Cyber
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,EMD,Roy; Huntsville; Ogden; Hill AFB,ICBM modernization,Insight Global; Apex; TEKsystems; Belcan,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,Weapon Systems,,“Proposed Architecture for Prime TS BD Intelligence Automation”,Systems Eng; SW Eng; Test Eng; PM
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,,"Secret, TS/SCI",High,,,Roy; Hill; Ogden; Redondo Beach; El Segundo; CO Springs; Huntsville; Promontory; Elkton,LGM-35A; ICBM; RMF; Digital Engineering,Bechtel; Aerojet; LMT; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,Northrop Grumman,Weapon Systems,,“Tier-1 subcontractors… key locations…”,MBSE; Systems Eng; Cyber ISSO/ISSM; C2 SW; Test; Supply Chain; Logistics/ILS; Propulsion
Sentinel ICBM / GBSD,GBSD,Air Force,,TS/SCI,High,$85B,,Ogden; Hill; Promontory; Remote,Nuclear Command; ATO; Mission Critical,Apex; Insight Global; Prime TS,,,Northrop Grumman,Weapon Systems,,“We’re confident… support for Sentinel”,Network Eng; Cyber; SW; Sustainment
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,,TS/SCI,High,,,Ogden; Hill AFB,“Cybersecurity; RMF; Sentinel ATO; Cross Domain; Zero Trust”,Parsons; BAE Systems,,,Northrop Grumman,Cyber,,—,Cybersecurity Engineers; ISSOs; RMF
SIPRAFT (indicative),SIPRAFT,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Low,“SIPRAFT”
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,High,TS/SCI,High,$2.8B,IDIQ,MacDill AFB; Component Commands; OCONUS deployment,“Thousands of positions across SOCOM; cleared surge support”,Iron Bow; Iron EagleX; multiple SB subs,Target,,Peraton,C5ISR,,SOCOM SITEC III BD references,IT support; deployable techs; field comms; cyber/SOCs
SLCD / SSLF (indicative),SLCD / SSLF,Army,🟡 Medium,Secret,Medium,,Services,Secret,IT Ops,,None,,SAIC (context),Professional Services,,Medium,“SLCD/SSLF”
SOCOM Digital Applications Data Science Support,—,CIA,,TS/SCI,High,,,Tampa FL (MacDill AFB),“$30M SOCOM… data scientists and data integration specialists”,"Subcontractors for AI/ML, cloud, data integration (needs-scrape)",,,Iron Eagle X (now GDIT),Cyber,,—,Data scientists; data integrators; cloud/DevOps; AI/ML engineers
SOCOM Enterprise IT Support,—,SOCOM,,TS/SCI,Medium,,,Tampa FL; Remote,“SOCOM… LVC exercises… cyber…”,CACI; Jacobs,,,GDIT,Cyber,,—,Cyber; Network Ops; LVC Trainer
SOCOM Software Solutions IDIQ,—,SOCOM,High,TS/SCI,High,,IDIQ,Tampa FL + SOF sites,“$430M SOCOM software support IDIQ”,Multiple SW & AI subs,Target,,Iron Eagle X (now GDIT),Cyber,,—,Software dev; cloud; DevSecOps; AI/ML; cyber
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,,TS/SCI,Medium,,,LA / Colorado,“Space payload / cyber”,—,,,SAIC / LinQuest (indicative),Cyber,,—,Payload / cyber engineers
SSA IT Support Services Contract,ITSSC,CIA,Medium,Public Trust,Medium,,Services,SSA HQ,“SSA IT”,—,None,,Leidos / Accenture Federal (indicative),IT Ops,,—,"Service desk, ops"
SSDS CSEA,SSDS CSEA,Navy,Medium,Secret,Medium,,Program,NAVSEA,Ship SD systems,—,Target,,—,C5ISR,,—,Systems engineering
STRATCOM Mission Readiness,SMORS,DoD,,"Secret, TS/SCI",Medium,,,Colorado Springs CO; Offutt AFB NE,Mission readiness; sustainment,needs-scrape,,,needs-scrape,Logistics,,“SMORS… sustainment engineers…”,Sustainment engineers; ILS; RMF
STRATCOM Mission Readiness Support,SMORS,IC,🟠 High,"Secret, TS/SCI",High,,Services,Colorado Springs; Offutt AFB,“SMORS ops continuity; ILS; RMF”,Prime TS; logistics contractors,Current,,Northrop Grumman (assumed),C5ISR,,—,Sustainment engineers; ILS; RMF cyber SMEs; ops continuity
STRATCOM SMORS,SMORS,DoD,,TS/SCI,Medium,,,Offutt AFB,“STRATCOM C2 Cyber ILS”,Prime TS (sub),,,BAE Systems,C5ISR,,—,Intel analyst; systems engineer
SMORS – STRATCOM Mission Readiness Sustainment,SMORS,DoD,High,"Secret, TS/SCI",High,,Services,Colorado Springs CO; Offutt AFB NE,“STRATCOM mission readiness; sustainment engineers; RMF”,Prime TS (support roles),Current,,Northrop Grumman,C5ISR,,Provided text,Sustainment engineers; RMF; ILS staff; mission readiness
DIA ISEO (IT Sustainment & Enterprise Ops),,DIA,,,,$400M,,"JB Anacostia-Bolling DC, DIA field offices",,SHINE Systems (routine support),None,,,,,,
Sentinel GBSD (Ground-Based Strategic Deterrent),GBSD,Air Force,,,,$13.3B,,"Hill AFB UT, Offutt AFB NE",,"Insight Global, other large staffing firms",Target,,,Weapon Systems,,,
DISA GSM-O II (Global Services Management - Operations),,DISA,,,,$6.52B,,"Scott AFB IL, Fort Meade MD, OCONUS network nodes",,Various cleared firms,Past,,,Cyber,,,
Army AvMC EITSS (Enterprise IT Support Services),EITSS,Army,,,,$404M,,"Redstone Arsenal AL, AvMC satellite sites",,Multiple subcontractors needed for large requirement,Target,,,IT Ops,,,
Army AESD (Enterprise Service Desk),AESD,Army,,,,$757M,,"Fort Gordon GA, Fort Hood TX, Fort Liberty NC, Fort Sam Houston TX",,"Apex, Insight Global, TEKsystems for call center staffing",Target,,,IT Ops,,,
USAF 16th Air Force Mission IT Support,,Air Force,,,,$261M,,"Lackland AFB TX, Eglin AFB FL, Tyndall AFB FL, Nellis AFB NV, Hill AFB UT",,Specialty subcontractors for skill gaps,Past,,,Cyber,,,
DoD JSP (Joint Service Provider) Pentagon IT & ICAM,JSP,DoD,,,,$190M,,Pentagon Arlington VA,,Small-business subs historically used,None,,,IT,,,
JRSS - Joint Regional Security Stacks,JRSS,DoD,,,,,,"Montgomery, Alabama",,,,,,Cyber,,,
CANES - Consolidated Afloat Network Enterprise Services,CANES,Navy,,,,,,"Norfolk VA, Sully VA, Mount Vernon VA, Aiea HI, Arlington VA",,,,,,IT,,,
AFSIM - Advanced Framework for Simulation Integration & Modeling,AFSIM,Air Force,,,,,,"San Antonio TX, Manassas VA, Tampa FL, Rivanna VA",,,,,,IT,,,
NJRSS - Navy Joint Regional Security Stacks,NJRSS,Navy,,,,,,"Montgomery, Alabama",,,,,,Cyber,,,
Counter-UAS Program,C-UAS,Army,,,,,,"Huntsville, Alabama",,,,,,Weapon Systems,,,
EVMS - Earned Value Management Systems,EVMS,DoD,,,,,,"Herndon, Virginia",,,,,,IT,,,
