program_name,acronym,customer_agency,prime_contractor_name,piid,contract_description,total_contract_value,period_of_performance,base_pop,option_pop,recompete_date,period_start,period_end,ultimate_completion,clearance_requirements,key_locations,task_order_locations,functional_locations,performance_location,keywords_signals,subcontractor_count,subawards_total,subawards_count,typical_roles,functional_areas,job_titles,org_hierarchy,task_orders,functional_teams,required_skills,tech_stack,technical_stack,naics_code,naics_description,psc_code,psc_description,contract_vehicle_type,contract_vehicle,using_office,funding_office,total_value,base_and_options,obligated,prime_uei,prime_legal_name,award_date,fiscal_year,date_signed,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,set_aside,bd_priority,confidence_level,pts_involvement,source_evidence,match_confidence,match_score,data_source,enrichment_date,subaward_count
"NATIONAL EMERGENCY AT THE SOUTHERN BORDER: TASK ORDER FIVE FOR STRONGER BORDERS, STRONGER AMERICA FOLLOW-ON INTERNATIONAL CAMPAIGN ADVERTISING AND MEDIA SUPPORT SERVICES",,Office of Procurement Operations,"PEOPLE WHO THINK, L.L.C.",70RDA225FR0000047,"NATIONAL EMERGENCY AT THE SOUTHERN BORDER: TASK ORDER FIVE FOR STRONGER BORDERS, STRONGER AMERICA FOLLOW-ON INTERNATIONAL CAMPAIGN ADVERTISING AND MEDIA SUPPORT SERVICES",,2025-09-26 to 2026-03-25,,,,9/26/2025,3/25/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, MANDEVILLE, LOUISIANA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R701,,,,,,25456545,,25456545,Z4UXD1X1HL99,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
"ADMINISTRATION FOR CHILDREN AND FAMILIES (ACF), OFFICE OF REFUGEE RESETTLEMENT (ORR), MISSION SUPPORT SERVICES BRIDGE",,Departmental Offices,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",140D0425F0958,"ADMINISTRATION FOR CHILDREN AND FAMILIES (ACF), OFFICE OF REFUGEE RESETTLEMENT (ORR), MISSION SUPPORT SERVICES BRIDGE",,2025-09-19 to 2026-09-21,,,,9/19/2025,9/21/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, WASHINGTON, DISTRICT OF COLUMBIA",,1,500137.6,1,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R499,,,,,,26103231.55,,26103231.55,SMNWM6HN79X5,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
HRD RECRUITING SERVICES,,Federal Bureau of Investigation,THE HATCHER GROUP INC,15F06725F0001708,HRD RECRUITING SERVICES,,2025-09-12 to 2026-09-11,,,,9/12/2025,9/11/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, BETHESDA, MARYLAND",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R701,,,,,,10714942,,10714942,HE17BEFBBQX6,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
"NATIONAL EMERGENCY AT THE SOUTHERN BORDER: NEW TASK ORDER FOUR FOR FOLLOW-ON STRONGER BORDERS, STRONGER AMERICA DOMESTIC CAMPAIGN SUPPORT",,Office of Procurement Operations,SAFE AMERICA MEDIA LLC,70RDA225FR0000034,"NATIONAL EMERGENCY AT THE SOUTHERN BORDER: NEW TASK ORDER FOUR FOR FOLLOW-ON STRONGER BORDERS, STRONGER AMERICA DOMESTIC CAMPAIGN SUPPORT",,2025-08-22 to 2026-02-21,,,,8/22/2025,2/21/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, ALEXANDRIA, VIRGINIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R701,,,,,,65000000,,65000000,R64SJRYFDKM7,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS AWARD PROCURES MEDIA CONTENT CREATION SUPPORT SERVICES FOR IMMIGRATION AND CUSTOMS ENFORCEMENT RECRUITMENT CAMPAIGN IN SUPPORT OF THE OFFICE OF PUBLIC AFFAIRS.,,U.S. Immigration and Customs Enforcement,"PEOPLE WHO THINK, L.L.C.",70CMSW25FR0000081,THIS AWARD PROCURES MEDIA CONTENT CREATION SUPPORT SERVICES FOR IMMIGRATION AND CUSTOMS ENFORCEMENT RECRUITMENT CAMPAIGN IN SUPPORT OF THE OFFICE OF PUBLIC AFFAIRS.,,2025-08-15 to 2026-01-01,,,,8/15/2025,1/1/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, MANDEVILLE, LOUISIANA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R701,,,,,,24974000,,24974000,Z4UXD1X1HL99,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
THIS AWARD PROCURES MEDIA DISSEMINATION BUYS/AD PLACEMENT SUPPORT SERVICES FOR IMMIGRATION AND CUSTOMS ENFORCEMENT RECRUITMENT CAMPAIGN IN SUPPORT OF THE OFFICE OF PUBLIC AFFAIRS.,,U.S. Immigration and Customs Enforcement,SAFE AMERICA MEDIA LLC,70CMSW25FR0000082,THIS AWARD PROCURES MEDIA DISSEMINATION BUYS/AD PLACEMENT SUPPORT SERVICES FOR IMMIGRATION AND CUSTOMS ENFORCEMENT RECRUITMENT CAMPAIGN IN SUPPORT OF THE OFFICE OF PUBLIC AFFAIRS.,,2025-08-15 to 2026-01-01,,,,8/15/2025,1/1/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, ALEXANDRIA, VIRGINIA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541613,,R701,,,,,,15000000,,15000000,R64SJRYFDKM7,,,2025,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
PER EO 14285 UNLEASHING AMERICA'S OFFSHORE CRITICAL MINERALS AND RESOURCES & THE HYDROGRAPHIC SERVICES IMPROVEMENT ACT - NOS/OCS/HSD HYDROGRAPHIC SURVEY SERVICES FOR AMERICAN SAMOA - SURVEY.,,National Oceanic and Atmospheric Administration,"NV5 GEOSPATIAL, INC.",1305M226F0023,PER EO 14285 UNLEASHING AMERICA'S OFFSHORE CRITICAL MINERALS AND RESOURCES & THE HYDROGRAPHIC SERVICES IMPROVEMENT ACT - NOS/OCS/HSD HYDROGRAPHIC SURVEY SERVICES FOR AMERICAN SAMOA - SURVEY.,,2025-12-19 to 2026-05-31,,,,12/19/2025,5/31/2026,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"nan, PAGO PAGO, AMERICAN SAMOA",,0,0,0,,,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541370,,C219,,,,,,12039839.68,,12039839.68,EMJEL3XM6A87,,,2026,,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,,,"piid, prime_contractor_name, customer_agency, total_value",,,Discovery V2,1/20/2026,
"IGF::CL::IGF - TIVOD SUPPORTS THE ORIGINATION, DISBURSEMENT, AND REPORTING OF TITLE IV FEDERAL STUDENT AID PROGRAMS, INCLUDING - BUT NOT LIMITED TO - DIRECT LOANS, PELL GRANTS, AND THE TEACHER EDUCATI",,Department of Education,ACCENTURE FEDERAL SERVICES LLC,EDFSA15C0006,,$1507.7M,,,,,,,,,,,,,185.2M in subawards,92,185206852.9,,,,,,,,,,,,,,,,,,,1507684723,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,447
FFM,,Department of Health and Human Services,ACCENTURE FEDERAL SERVICES LLC,HHSM500201500246C,,$829.6M,,,,,,,,,,,,,198.7M in subawards,56,198704536.1,,,,,,,,,,,,,,,,,,,829577336.9,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,736
AWARD FOR UNIFIED ENTERPRISE RESOURCE PLANNING CAPABILITY SUPPORT SERVICES,,Department of Defense,ACCENTURE FEDERAL SERVICES LLC,W52P1J20C0005,,$820.3M,,,,,,,,,,,,,127.2M in subawards,29,127244023.1,,,,,,,,,,,,,,,,,,,820300745.7,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,129
"THIS TASK ORDER IS FOR AN ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE PLATFORMS AND SERVICES SOLUTION (ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE SOLUTION, AKA EWDCCPS, AKA DCC) THAT WILL ENABLE AN FSA-B",,Department of Education,ACCENTURE FEDERAL SERVICES LLC,91003119F0003,,$798.9M,,,,,,,,,,,,,155.1M in subawards,78,155081483.4,,,,,,,,,,,,,,,,,,,798926352.9,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,483
FEDERALLY FACILITATED EXCHANGE (FFE),,Department of Health and Human Services,ACCENTURE FEDERAL SERVICES LLC,75FCMC21F0002,,$791.0M,,,,,,,,,,,,,118.5M in subawards,32,118474622,,,,,,,,,,,,,,,,,,,791036926.4,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,212
COMMERCIAL OFF-THE SHELF ENTERPRISE RESOURCE PLANNING (ERP) APPLICATION - AN ARMY-WIDE ENTERPRISE FINANCIAL SYSTEM,,Department of Defense,ACCENTURE LLP,D003,,$675.9M,,,,,,,,,,,,,151.9M in subawards,44,151923108.2,,,,,,,,,,,,,,,,,,,675858853.7,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,160
DIGITAL GI BILL DELIVERY SERVICES,,Department of Veterans Affairs,ACCENTURE FEDERAL SERVICES LLC,36C10D21N0007,,$501.5M,,,,,,,,,,,,,233.1M in subawards,38,233089917.5,,,,,,,,,,,,,,,,,,,501461284.4,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,492
TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG) TASK ORDER - BENEFITS INTEGRATED DELIVERY,,Department of Veterans Affairs,BOOZ ALLEN HAMILTON INC,36C10B21N10070021,,$1326.4M,,,,,,,,,,,,,268.5M in subawards,12,268476623.2,,,,,,,,,,,,,,,,,,,1326434449,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,15
NEW TO - EHRM PMO IO SUPPORT,,Department of Veterans Affairs,BOOZ ALLEN HAMILTON INC,36C10B22N10070023,,$859.7M,,,,,,,,,,,,,667.1M in subawards,24,667125084.7,,,,,,,,,,,,,,,,,,,859686306.3,,,,,,,,,,,,,,Critical,High,,,,,High Sub Spend Discovery,1/20/2026,32
IGF::OT::IGF  INFORMATION TECHNOLOGY OPERATIONS AND SERVICES TRANSFORMATION SUPPORT SERVICES,,Department of Veterans Affairs,BOOZ ALLEN HAMILTON INC,36C10B19N10070015,,$826.6M,,,,,,,,,,,,,161.6M in subawards,16,161555185.4,,,,,,,,,,,,,,,,,,,826583511.9,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,124
"THE PURPOSE OF THIS REQUIREMENT IS TO DELIVER ENTERPRISE CLASS, INDUSTRY STANDARD, OPEN ARCHITECTURE EQUIPMENT AND SERVICES TO SUPPORT THE USG PROGRAM OFFICE, DOD PARTNERS, AND OTHER ORGANIZATIONS AS ",,General Services Administration,BOOZ ALLEN HAMILTON INC,47QFCA18F0073,,$727.4M,,,,,,,,,,,,,280.9M in subawards,47,280908244.8,,,,,,,,,,,,,,,,,,,727435601,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,253
NCI OPERATIONAL TASK ORDER,,Department of Health and Human Services,LEIDOS BIOMEDICAL RESEARCH INC,75N91020F00003,,$1775.4M,,,,,,,,,,,,,103.2M in subawards,66,103228432.9,,,,,,,,,,,,,,,,,,,1775391302,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,137
ITSSC TASK ORDER FOR SYSTEMS,,Social Security Administration,"LEIDOS, INC.",28321322FDS030130,,$1062.9M,,,,,,,,,,,,,145.4M in subawards,43,145407506.6,,,,,,,,,,,,,,,,,,,1062905628,,,,,,,,,,,,,,Medium,High,,,,,High Sub Spend Discovery,1/20/2026,48
DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,,Department of Defense,NATIONAL STEEL AND SHIPBUILDING COMPANY,N0002416C2229,,$5812.6M,,,,,,,,,,,,,190.9M in subawards; 119 unique subcontractors,119,190919724.4,,,,,,,,,,,,,,,,,,,5812593039,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,2000
EXPEDITIONARY SEA BASE (ESB) HULL 6 LLTM UCA,,Department of Defense,NATIONAL STEEL AND SHIPBUILDING COMPANY,N0002419C2235,,$1859.3M,,,,,,,,,,,,,1068.2M in subawards; 137 unique subcontractors,137,1068150868,,,,,,,,,,,,,,,,,,,1859304798,,,,,,,,,,,,,,Critical,High,,,,,High Sub Spend Discovery,1/20/2026,1495
IGF::OT::IGF CONTRACT FOR INTEGRATED LOGISTICS SUPPORT (ILS) SERVICES IN SUPPORT OF THE OFFICE OF SECURITY CAPABILITIES TO PROVIDE SUSTAINMENT OF PASSENGER SCREENING EQUIPMENT DEPLOYED AT AIRPORTS NAT,,Department of Homeland Security,"LEIDOS, INC.",HSTS0413CCT3067,,$432.3M,,,,,,,,,,,,,242.9M in subawards,15,242886704.2,,,,,,,,,,,,,,,,,,,432319916.6,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,123
IGF::OT::IGF,,Department of Health and Human Services,PERATON ENTERPRISE SOLUTIONS LLC,HHSM500T0003,,$1238.9M,,,,,,,,,,,,,402.2M in subawards,62,402193427.8,,,,,,,,,,,,,,,,,,,1238890340,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,638
OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.,,General Services Administration,PERATON INC.,47QFCA21F0058,,$775.4M,,,,,,,,,,,,,328.2M in subawards,36,328234646.8,,,,,,,,,,,,,,,,,,,775386921.3,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,89
"THE AGENCY CONSOLIDATED END-USER SERVICES (ACES)CONTRACT  WILL PROVIDE AND MANAGE NASA'S PERSONAL COMPUTING HARDWARE, AGENCY STANDARD SOFTWARE, MOBILE IT SERVICES, PERIPHERALS AND ACCESSORIES, ASSOCIA",,National Aeronautics and Space Administration,PERATON ENTERPRISE SOLUTIONS LLC,NNX11AA01C,,$769.2M,,,,,,,,,,,,,447M in subawards,74,446993020.6,,,,,,,,,,,,,,,,,,,769166010.1,,,,,,,,,,,,,,High,High,,,,,High Sub Spend Discovery,1/20/2026,2000
