Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Tech Stack (Basic),Functional Areas (Basic),Job Titles (Basic),Tech Stack (PWS),Labor Categories (PWS),Clearances (PWS),Team Locations (PWS),Functional Areas (PWS),PWS Document Name,PWS Download Status,Signed Date (FPDS),Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),NAICS Code (FPDS),PSC Code (FPDS),FPDS Enrichment Status,Contractor UEI,Contractor POC Names,Contractor POC Titles,Contractor POC Emails,Contractor POC Phones,Entity API Status,Tech Stack (Combined),Functional Areas (Combined),Contract Number (USASpending),Contract Value (USASpending),Contract Description (USASpending),Awarding Agency (USASpending),Match Score,Match Terms,NAICS Description,PSC Description,PSC Category,PSC Area,DoD Portfolio
Ground-Based Interceptor,GBI,MDA,,"Secret, Top Secret",Medium,Multi-$B,,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),,,Boeing (lead),Weapon Systems,,Provided,Missile ops; missile engineers,,Data Analytics,Missile ops; missile engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
Ground-Based Midcourse Defense,GMD,MDA,,"Secret, Top Secret",High,Multi-$B,,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,,,Boeing (prime); Northrop & Raytheon (NGI),C5ISR,,Provided,Missile defense engineers; radar techs; C2 analysts,,,Missile defense engineers; radar techs; C2 analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR (NGI),MDA,3,next; gen; interceptor,,,,,
Ground-Based Strategic Deterrent,GBSD,Air Force,,"Secret, TS/SCI",High,Multi-$B,,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,,,Northrop Grumman,Weapon Systems,,“Northrop Grumman Sentinel Execution Strategy Guide”,Systems engineers; cybersecurity; SW dev; logistics engineers,cybersecurity,Logistics; Cybersecurity,Systems engineers; cybersecurity; SW dev; logistics engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cybersecurity,Logistics; Cybersecurity,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT (GBSD) EMD AND EARLY PRODUCTION,Department of the Air Force,5,gbsd; strategic; ground; based; deterrent,,,,,
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,,"Secret, TS/SCI",High,Multi-$B,,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,,,Northrop Grumman,C5ISR,,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,,Cybersecurity,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT (GBSD) EMD AND EARLY PRODUCTION,Department of the Air Force,5,gbsd; strategic; ground; based; deterrent,,,,,
GSA Alliant 2,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,,,40+ primes,IT Ops,,Provided,IT solutions; dev; ops; cloud,cloud,Cloud Services,IT solutions; dev; ops; cloud,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Cloud Services,,,,,,,,,,,
GSA Alliant 2 GWAC,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,,,~40 primes,Professional Services,,Provided,IT developers; engineers; cloud engineers,cloud,Cloud Services,IT developers; engineers; cloud engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Cloud Services,,,,,,,,,,,
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,,"Public Trust, Secret, Top Secret",Medium,,,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,,,Multiple primes,IT Ops,,Provided,Enterprise IT; cloud; cyber; software,cloud,Software Development; Cloud Services; Cybersecurity,Enterprise IT; cloud; cyber; software,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Software Development; Cloud Services; Cybersecurity,,,,,,,,,,,
GSA ASTRO,ASTRO,DoD,,Secret,Medium,,,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,,,Dozens of primes,C5ISR,,Provided,Ops; R&D; maintenance; dev,AI,Logistics,Ops; R&D; maintenance; dev,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics,,,,,,,,,,,
GSA ASTRO (multiple pools),ASTRO,DoD,,Secret,Medium,,,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,,,Multiple,R&D,,Provided,Ops; R&D; maintenance; unmanned systems,AI,Logistics,Ops; R&D; maintenance; unmanned systems,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Logistics,,,,,,,,,,,
GSA ASTRO (pool-level entry),ASTRO,DoD,Medium,Top Secret,Medium,,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,None,"January 1, 2021 → January 1, 2031",Multiple primes,Professional Services,,Provided,O&M techs; R&D engineers; robotics,,,O&M techs; R&D engineers; robotics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,,"Public Trust, Secret",Medium,,,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,,,Many schedule holders,Professional Services,,Provided,IT contractors; dev; cyber; staff aug,,Cybersecurity,IT contractors; dev; cyber; staff aug,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
GSA OASIS,OASIS,DoD,,Secret,Medium,,,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,,,100+ primes (Pools 1–6),Professional Services,,Provided,A&AS; management; engineering,,Data Analytics,A&AS; management; engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
GSA OASIS / OASIS+,OASIS,DoD,,Secret,Medium,,,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,,,Multiple pools,Professional Services,,Provided,A&AS; program support; engineering,,,A&AS; program support; engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,Public Trust,Medium,,DATA PLATFORM,NIH / HHS,“HHS analytics”,,None,,GDIT / SAIC (indicative),Data,,Provided text,Data engineering; cyber analysts; platform engineers,,Data Analytics; Cybersecurity,Data engineering; cyber analysts; platform engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; Cybersecurity,,,,,,,,,,,
Hope 2.0 (prototype),Hope 2.0,Space Force,,Secret,Medium,,,TS,Space / R&D,Odyssey Systems,,,SAIC,Professional Services,,Medium,"“SAIC, Hope 2.0… early-stage targeting”",AI,,“SAIC; Hope 2.0… early-stage targeting”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,,TS/SCI,High,$155M,,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,,,,Northrop & L3Harris (co-primes),R&D,,Provided program note,Space payload engineers; infrared flight SW; tracking algorithm developers,,,Space payload engineers; infrared flight SW; tracking algorithm developers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,,"Secret, TS/SCI",High,$441M,,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,,,,Amentum,C5ISR,,“Amentum $441M… INDOPACOM”,IT & cyber analysts; comms engineers; systems integrators,,Cybersecurity,IT & cyber analysts; comms engineers; systems integrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,$400M,,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),Target,,Leidos,IT Ops,,BD prompt example,IT sustainment; help desk; desktops; network ops,AI; network,IT Operations; Logistics,IT sustainment; help desk; desktops; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,IT Operations; Logistics,,,,,,,,,,,
INSCOM GILE Support,GILE,Army,,TS/SCI,High,$855M,,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,,,,CACI,Intel,,Provided text,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,,Cybersecurity,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,TS/SCI,High,,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,,Current,,GDIT,Intel,,Provided row,Helpdesk; sysadmin; storage admin; DevOps; network tech,network,Software Development,Helpdesk; sysadmin; storage admin; DevOps; network tech,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Software Development,,,,,,,,,,,
INSCOM IT Support Services III,I2TS-III,Army,,TS/SCI,Medium,$300M,,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,,,GDIT,Intel,,Provided,Enterprise IT; IA; apps; deployable comms,,,Enterprise IT; IA; apps; deployable comms,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Integrated Air & Missile Defense,IAMD,Army,,Secret,Medium,$1B,,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,,,Raytheon,C5ISR,,WISŁA/IBCS linkages,Systems engineers; radar analysts; MLU support,AI; ML,,Systems engineers; radar analysts; MLU support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,,,,,,,,,,,,
Integrated Base Defense Security System,IBDS,Army,,Secret,Medium,,,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,,,Leidos,C5ISR,,PTS program-mapping data,Network security engineers; SOC analysts,network,Cybersecurity,Network security engineers; SOC analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Cybersecurity,,,,,,,,,,,
Integrated Digital Engineering Environment,IDEE,Air Force,,TS/SCI,Medium,,,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,,,Northrop Grumman,R&D,,“GBSD BD Strategy.pdf”,MBSE engineers; SysML modelers; digital twin developers,ML,,MBSE engineers; SysML modelers; digital twin developers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,ML,,,,,,,,,,,,
Integrated Situational Awareness Environment,inSITE,Army,,"Secret, TS/SCI",High,,,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber analysts,,Cybersecurity,RMF SMEs; STIG analysts; cyber analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,Current,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber engineers,,Cybersecurity,RMF SMEs; STIG analysts; cyber engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,Current,,Northrop Grumman,Cyber,,inSITE BD mapping text,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,,Cybersecurity,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,,TS/SCI,Medium,$400M,,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,,,Leidos,Intel,,BD Automation Playbook (L260–L270),IT support; help desk; desktop support; enterprise sustainment,AI,IT Operations; Logistics,IT support; help desk; desktop support; enterprise sustainment,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,IT Operations; Logistics,,,,,,,,,,,
Intelligence Community Infrastructure Support,I2TS-Next,Army,,TS/SCI,High,,,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),,,Jacobs,Intel,,INSCOM I2TS-Next history,IT support; cyber security; helpdesk; systems tech,,Cybersecurity,IT support; cyber security; helpdesk; systems tech,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Intelligence Systems Enterprise Operations,ISEO,DIA,High,TS/SCI,High,,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),Target,,Leidos,Intel,,AI-playbook sample,IT support; help desk; desktop; local/remote IT sustainment,AI,IT Operations; Logistics,IT support; help desk; desktop; local/remote IT sustainment,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,IT Operations; Logistics,,,,,,,,,,,
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,,"Secret, TS/SCI",High,$406M,,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,,,Northrop Grumman,Intel,,“Northrop programs supported by Prime”,RMF SMEs; STIG/Cyber Analysts,,Cybersecurity,RMF SMEs; STIG/Cyber Analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,Medium,"Secret, Top Secret",Medium,,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,None,,Multiple,C5ISR,,Row text,C2 engineers; JADC2 integrators,,,C2 engineers; JADC2 integrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
IT CROP (Bowhead),IT CROP,DoD,,Secret,Medium,,,Secret,IT Ops,,,,Bowhead,Professional Services,,Medium,“IT CROP Bowhead”,,IT Operations,“IT CROP Bowhead”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,,Secret,High,$880M,,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),,,CACI,IT Ops,,Provided,Agile developers; cybersecurity; trainers; network support,AI; cybersecurity; network,Cybersecurity,Agile developers; cybersecurity; trainers; network support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; cybersecurity; network,Cybersecurity,,,,,,,,,,,
ITES-3S,ITES-3S,Army,,Secret,High,$12.1B,,Global,“Army IT”,Numerous,,,135 primes,IT Ops,,Provided,Enterprise IT services; cyber; network ops,network,IT Operations; Cybersecurity,Enterprise IT services; cyber; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),,,Multiple (MA-IDIQ pool),IT Ops,,Provided,Help desk; application support; network ops; admin,network,IT Operations,Help desk; application support; network ops; admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,High,"Secret, Top Secret",High,$6B,IDIQ,CONUS + OCONUS,“JETS 2.0… cloud hosting… cyber security”,"TekSynap (awardee), others",None,"January 1, 2024 → January 1, 2029",Multiple (IDIQ MA pool),Cyber,,electrosoft-inc.com citation,Network & telecom services; cyber security; PM; cloud hosting,cloud; network,Cloud Services; Cybersecurity,Network & telecom services; cyber security; PM; cloud hosting,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud; network,Cloud Services; Cybersecurity,,,,,,,,,,,
JGLASS II – Shared Services,JGLASS II,DHS,Medium,Public Trust,Medium,,Services,NCR,“Shared services”,,None,,Peraton / SAIC (indicative),IT Ops,,Provided,Enterprise shared services; IT admin,,,Enterprise shared services; IT admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Joint Staff J7 Support,JS J7,DoD,,"Secret, TS/SCI",High,$50M,,Suffolk VA; Quantico VA; Ft Leavenworth,“Joint Training; LVC; Wargaming”,SAIC; Leidos; GDIT,,,HII,C5ISR,,J7 TO descriptions,LVC integrators; red-cell analysts; M&S engineers; ISSO,AI,Cybersecurity,LVC integrators; red-cell analysts; M&S engineers; ISSO,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Cybersecurity,,,,,,,,,,,
Joint Tactical Ground Station Early Warning,JTAGS,Army,,"Secret, TS/SCI",High,,,Colorado Springs; Germany; Redondo Beach,“JTAGS early missile warning; IR satellite”,Prime TS; others,,,Northrop (prime/sub),C5ISR,,Provided,SW engineers; SIGINT analysts; logistics continuity,,Logistics,SW engineers; SIGINT analysts; logistics continuity,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT (GBSD) EMD AND EARLY PRODUCTION,Department of the Air Force,2,ground; early,,,,,
Joint Tactical Ground Stations,JTAGS,Space Force,,TS/SCI,High,Multi-$M,,Colorado Springs CO; Germany,“missile warning; JTAGS”,General Dynamics,,,Northrop Grumman,Intel,,“Northrop Programs Supported by Prime”,SW engineers; SIGINT SMEs,,,SW engineers; SIGINT SMEs,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Joint Warfighting Cloud Capability,JWCC,DoD,High,"Secret, TS/SCI",High,$9B,IDIQ,DoD/IC sites,“JWCC… $9B… four cloud vendors”,Integrators & cloud partners,Target,"January 1, 2022 → January 1, 2027",AWS; Microsoft; Google; Oracle,IT Ops,,JWCC summary lines,Cloud migration; platform engineering; zero-trust integration,cloud,Data Analytics; Systems Engineering; Cloud Services,Cloud migration; platform engineering; zero-trust integration,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Systems Engineering; Cloud Services,,,,,,,,,,,
JSP Enterprise IT,JSP,DoD,,TS/SCI,High,$190M,,Pentagon / NCR,"“22,000 users… transition to DISA GSD model”",PTS (prospective),,,CACI,IT Ops,,JSP BD capture notes,Classified helpdesk; VTC; desktop support,,IT Operations,Classified helpdesk; VTC; desktop support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
JSP ETM (Pentagon IT),JSP ETM,DoD,,"Secret, TS/SCI",High,$190M,,Pentagon / NCR,“JSP IT… CACI incumbent”,Multiple SBs,,,CACI,IT Ops,,Provided,Helpdesk; classified VTC; classified desktop support,,IT Operations,Helpdesk; classified VTC; classified desktop support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
Justified (SAP Security),Justified,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,“Justified… SAP… Hanscom… JBAB”,Prime TS (past performance),,,SAIC (inferred),,,Provided,SAP admins; ISSO; SAP security leads,,Cybersecurity,SAP admins; ISSO; SAP security leads,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Justified SAP Security Contract,needs-scrape,Air Force,,Top Secret,Medium,,,Hanscom AFB; JBAB DC,“SAP security”; “Hanscom”; “JBAB”,needs-scrape,,,needs-scrape,Cyber,,Provided,Program security; ISSO roles,,Cybersecurity,Program security; ISSO roles,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,,TS/SCI,Medium,,,Hanscom AFB; JBAB DC,"“SAP”, “Security”, “Hanscom”, “Bolling”",SAIC,,,Booz Allen Hamilton,Cyber,,Hiring trend heatmap,SAP Security Engineer; ISSO; ISSM,,Cybersecurity,SAP Security Engineer; ISSO; ISSM,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
JWCC – ATAT Expansion Path,JWCC,DISA,Medium,TS/SCI,Medium,$9B,IDIQ,Global DoD; CCPO,“CCPO expanding scope to integrate JWCC into ATAT”,Five Star (potential support),None,"January 1, 2023 → January 1, 2028",AWS; Microsoft; Google; Oracle,IT Ops,,Provided text,Cloud integration leads; policy enforcement; multi-cloud operations,cloud,Systems Engineering; Cloud Services,Cloud integration leads; policy enforcement; multi-cloud operations,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Systems Engineering; Cloud Services,,,,,,,,,,,
Kennedy Space Center BOSS,KSC BOSS,NASA,,"Public Trust, Secret",Medium,,,Kennedy Space Center FL,“Base ops support”,Multiple,,,Jacobs / Amentum (past),IT Ops,,Provided,Facility operations; IT ops,,IT Operations,Facility operations; IT ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) KENNEDY SPACE CENTER,NASA,3,space; center; kennedy,,,,,
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job postings,VTC engineers; AV technicians; unified comms,,,VTC engineers; AV technicians; unified comms,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
LANL/NNSA VTC Support,,NSA,,Top Secret,High,,,Los Alamos NM,“LANL… Q clearance… GDIT + TEKsystems listing”,TEKsystems,,,GDIT,IT Ops,,Verified job references,VTC engineer; unified comms; AV/telepresence,,,VTC engineer; unified comms; AV/telepresence,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
LATERALUS (IC Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,High,$100M,,CO / NoVA SCIFs,“Space ISR… classified… Raytheon prime”,,,,Raytheon,Intel,,Provided,Satellite ops engineers; intel analysts; O&M staff,,,Satellite ops engineers; intel analysts; O&M staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
LATERALUS (Space ISR),LATERALUS,NSA,,TS/SCI w/ Poly,Medium,,,CO / NoVA,“Space ISR ground ops”,Leidos; CACI; Parsons (indicative),,,Raytheon,Intel,,Provided,O&M staff; sysadmins; intel exploitation analysts,,,O&M staff; sysadmins; intel exploitation analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
LOGCAP V,LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global theaters,“LOGCAP V… global subcontractor networks”,Large sub-networks globally,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; transportation; life support,network,,Base ops; supply; transportation; life support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,,"Public Trust, Secret",Medium,$82B,,Global,“LOGCAP V… global subcontractor networks”,Large local networks,,,KBR; V2X; Fluor; Amentum,Logistics,,Provided,Base ops; supply; facilities,network,Logistics,Base ops; supply; facilities,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Logistics,0003,"$1,263,860,787.16",ENHANCED ARMY GLOBAL LOGISTICS ENTERPRISE (EAGLE) APS-5 KUWAIT/QATAR,Department of the Army,2,global; logistics,,,,,
LRAAM (Long Range AAM),LRAAM,Air Force,Medium,Secret,Medium,,R&D,Tucson AZ,“Long-range AAM”,Northrop,Target,,Raytheon (indicative),Weapon Systems,,Row text,AAM engineers; missile systems developers,,,AAM engineers; missile systems developers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Managed IT Services (USTRANSCOM),MITS,DoD,,"Secret, Top Secret",Medium,$150M,,Scott AFB IL,“Enterprise IT; USTRANSCOM”,TEKsystems; Apex (indicative),,,SAIC,IT Ops,,Provided,Service desk; admins; cyber analysts,,Cybersecurity,Service desk; admins; cyber analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Marine Corps Enterprise Network,MCEN,Marines,,Secret,Medium,,,Marine bases,“USMC network”,,,,Leidos / GDIT,IT Ops,,Provided,NetOps; cyber; enterprise IT technicians,network,Cybersecurity,NetOps; cyber; enterprise IT technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Cybersecurity,,,,,,,,,,,
Mark 48 Heavyweight Torpedo,Mk-48,Navy,,Secret,Low,,,Middletown RI; Navy weapons centers,“Mark-48 Torpedo”,,,,Raytheon (indicative),Weapon Systems,,Provided,Systems/seeker engineering; test; manufacturing,,,Systems/seeker engineering; test; manufacturing,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Medium,Secret,Medium,,Program,NSWC Crane; NSWC Newport; Middletown RI,“Mark-48 Torpedo…”,,None,,Raytheon (indicative),Weapon Systems,,High,Torpedo assembly; electronics,,,Torpedo assembly; electronics,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
