Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,nan,"Public Trust, Secret",Medium,Multi-$B,nan,MTFs nationwide,“Joint EHR”,Many,nan,nan,Leidos; Cerner; Accenture,Health IT,nan,Row text,Health IT; clinical IT integration; systems analysts,HHSN261200800001E,DHMSM (MHS GENESIS),Low,0.0,,,Health IT; clinical IT integration; systems analysts,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,nan,"Public Trust, Secret",High,$586M,nan,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),nan,nan,SAIC,nan,nan,Derived from SAIC HPCMP/HITS program details in your files,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,FA877319FA023,HITS / HITS-U,Low,0.0,AI/ML,,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
DoD IAC Multiple Award Contract,IAC-MAC,DoD,nan,Secret,Medium,$28B,nan,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,nan,nan,Multiple primes,R&D,nan,Provided row,R&D SMEs; scientists; analysts,nan,nan,nan,nan,,,R&D SMEs; scientists; analysts,,,,,,,,,,,,,,,,,,,,,,No Match
DoD Information Analysis Center MAC,IAC-MAC,DoD,Medium,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,nan,"January 1, 2018 → January 1, 2027",Multiple,R&D,nan,Provided,Scientists; R&D engineers; prototype developers,nan,nan,nan,nan,,,Scientists; R&D engineers; prototype developers,,,,,,,,,,,,,,,,,,,,,,No Match
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,nan,"Secret, Top Secret",Medium,$190M,nan,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,nan,nan,CACI (incumbent),nan,nan,Provided data,Helpdesk; deskside; VTC; ICAM,47QFRA19F0011,JSP,Medium,1.0,,,Helpdesk; deskside; VTC; ICAM,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,nan,Target,nan,Leidos,IT Ops,nan,Provided text,Desktop support; NetOps; ICAM engineers,HHSN261200800001E,AFNCR / ICAM,Low,0.0,,,Desktop support; NetOps; ICAM engineers,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DSS Support,DSS Support,DoD,Medium,Secret,Medium,nan,Services,NCR,“DSS/DCSA”,nan,nan,nan,Northrop (mention); others,IT Ops,nan,Row text,Security IT; insider threat IT support,FA821920C0006,DSS Support,Low,0.0,,,Security IT; insider threat IT support,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
DTIC / IAC MAC,IAC-MAC,DoD,nan,Secret,Medium,$28B,nan,DoD labs,“IAC”,Multiple,nan,nan,Multiple,R&D,nan,IAC MAC references,R&D SMEs; scientific analysts,nan,nan,nan,nan,,,R&D SMEs; scientific analysts,,,,,,,,,,,,,,,,,,,,,,No Match
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,nan,"Secret, Top Secret",Medium,$28B,nan,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,nan,nan,CACI,Intel,nan,Row text,Nuclear/Bio defense analysts; data scientists,GSQ0017AJ0006,IAC-MAC,Low,0.0,,,Nuclear/Bio defense analysts; data scientists,2016-10-28,2022-02-28,2022-02-28,"$696,872,474.00","$960,038,373.03","RESTON, VIRGINIA",541712,B538,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS FEDSIM (Federal Acquisition Service),NONE,2016-10-28,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",,,,,,,,No Match
DTRA Integrated IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,nan,nan,Leidos,nan,nan,Row text,IT; cyber; ZTA specialists,70T04019C9DAP3006,I3TS,Medium,1.0,,,IT; cyber; ZTA specialists,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
DTRA Integrated IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,nan,nan,Leidos,nan,nan,Row text,IT; cyber; ZTA specialists,70T04019C9DAP3006,DTRA I3TS,Medium,1.0,,,IT; cyber; ZTA specialists,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
DTRA Integrated IT Support Services,DTRA I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,nan,nan,Leidos,nan,nan,Provided,Network admin; systems engineer; cyber analyst,70T04019C9DAP3006,I3TS,Medium,1.0,,,Network admin; systems engineer; cyber analyst,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
DTRA Integrated IT Support Services,DTRA I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,nan,nan,Leidos,nan,nan,Provided,Network admin; systems engineer; cyber analyst,70T04019C9DAP3006,DTRA I3TS,Medium,1.0,,,Network admin; systems engineer; cyber analyst,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,nan,nan,Leidos,Cyber,nan,“DTRA I3TS – $205M…”,Service desk; network mgmt; Zero Trust engineers,HHSN261200800001E,I3TS (ITSS),Low,0.0,AI/ML; Cybersecurity,,Service desk; network mgmt; Zero Trust engineers,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
DTRA IT Support Modernization,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,nan,nan,Leidos,nan,nan,BD notes,IT admins; service desk; network engineers,70T04019C9DAP3006,I3TS,Medium,1.0,Cybersecurity,,IT admins; service desk; network engineers,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
DTRA IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,nan,nan,Leidos,Cyber,nan,Row text,Help desk; network eng; Zero Trust,HHSN261200800001E,I3TS,Low,0.0,,,Help desk; network eng; Zero Trust,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,nan,"Secret, Top Secret",Medium,$655M,nan,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,nan,nan,nan,SAIC,nan,nan,Row text,Systems/software engineers; cyber engineers; space-ground integration,FA251822F0034,EDIS,Medium,1.0,,,Systems/software engineers; cyber engineers; space-ground integration,2022-06-27,2026-06-28,2027-06-28,"$694,278.73","$2,893,647.82","COLORADO SPRINGS, COLORADO",541512,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA2518  USSF SPOC/SAIO (Department of the Air Force),8A,2022-06-27,Computer Systems Design Services,,,,,,,,No Match
EDIS / HADES (follow-on),EDIS/HADES,Space Force,nan,"Secret, Top Secret",Medium,nan,nan,LAAFB; CONUS ISR nodes,“EDIS/HADES”,nan,nan,nan,SAIC / Army,Intel,nan,Row text,SE&I; ISR analysts; systems engineering,FA877319FA023,EDIS/HADES,Low,0.0,,,SE&I; ISR analysts; systems engineering,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
EITaaS (Pilot – USAF),EITaaS,Air Force,nan,"Public Trust, Secret",Medium,$50M,nan,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,nan,nan,CACI (pilot),nan,nan,Program notes,Base IT; service desk; help desk; end-user services,FA882316C0004,EITaaS,Medium,2.0,,,Base IT; service desk; help desk; end-user services,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
ENCORE III,ENCORE III,DISA,nan,Secret,Medium,$17.5B,nan,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,nan,nan,20 large + 20 small primes,nan,nan,ENCORE III description,IT modernization; cyber; enterprise IT,nan,nan,nan,nan,,,IT modernization; cyber; enterprise IT,,,,,,,,,,,,,,,,,,,,,,No Match
Engineering Development & Integration Support,EDIS,Space Force,nan,"Secret, Top Secret",High,$655M,nan,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),nan,nan,SAIC (via Engility),nan,nan,Provided,Systems engineers; SW testers; satellite ground engineers,FA251822F0034,EDIS,High,3.0,AI/ML,,Systems engineers; SW testers; satellite ground engineers,2022-06-27,2026-06-28,2027-06-28,"$694,278.73","$2,893,647.82","COLORADO SPRINGS, COLORADO",541512,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA2518  USSF SPOC/SAIO (Department of the Air Force),8A,2022-06-27,Computer Systems Design Services,,,,,,,,No Match
Enterprise Account Tracking & Automation Tool,ATAT,DISA,nan,TS/SCI,High,$21M,nan,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,nan,nan,Hunter Strategy LLC,Professional Services,nan,Provided,Software developers; cloud admins; PMs; identity automation,nan,nan,nan,nan,Cloud,,Software developers; cloud admins; PMs; identity automation,,,,,,,,,,,,,,,,,,,,,,No Match
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,nan,"Secret, TS/SCI",Medium,$1.3B,nan,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,nan,nan,CACI,nan,nan,Provided row,Network ops; field comms; sysadmin; SATCOM support,FA882316C0004,EUCOM/AFRICOM IT,Medium,2.0,,,Network ops; field comms; sysadmin; SATCOM support,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,nan,"Secret, Top Secret",High,$1.3B,nan,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,nan,nan,CACI,C5ISR,nan,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,Help desk; network ops; field comms; cloud support,47QFRA19F0011,DCWAS (ref name),Medium,1.0,,,Help desk; network ops; field comms; cloud support,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
EUCOM/AFRICOM IT & Comms,nan,DoD,nan,TS/SCI,High,$1.3B,nan,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,nan,nan,CACI,nan,nan,Provided text,Field service techs; network ops; help desk; secure comms,GSQ0017AJ0006,nan,Low,0.0,,IT Operations,Field service techs; network ops; help desk; secure comms,2016-10-28,2022-02-28,2022-02-28,"$696,872,474.00","$960,038,373.03","RESTON, VIRGINIA",541712,B538,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS FEDSIM (Federal Acquisition Service),NONE,2016-10-28,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",,,,,,,,No Match
EUCOM/AFRICOM IT & Comms Support,nan,Air Force,nan,"Secret, Top Secret",High,$1.3B,nan,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),nan,nan,CACI,C5ISR,nan,Provided row text,Field comms; network ops; help desk,FA882316C0004,nan,Medium,2.0,,,Field comms; network ops; help desk,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
F-35 Sustainment,F-35 Sustainment,DoD,nan,Secret,Medium,Multi-$B,nan,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,nan,nan,Lockheed Martin,IT Ops,nan,Provided,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,N0001917C0001,F-35 Sustainment,Low,0.0,AI/ML,,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,2017-11-17,2031-03-31,2031-03-31,"$889,068,000.00","$35,135,514,910.20","FORT WORTH, TEXAS",336411,1510,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2017-04-28,Aircraft Manufacturing,,,,,,,,No Match
Fort Eisenhower (Gordon) IT Support,nan,Army,nan,Secret,Medium,nan,nan,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,nan,nan,SAIC,IT Ops,nan,Provided,Service desk; night-shift coverage; sysadmin; ServiceNow,W15QKN19F1290,nan,Medium,1.0,,,Service desk; night-shift coverage; sysadmin; ServiceNow,2019-08-28,2025-08-29,2025-08-29,"$5,510,271.95","$39,320,458.07","COLORADO SPRINGS, COLORADO",541519,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",W6QK ACC-PICA (Department of the Army),None,2019-08-28,Other Computer Related Services,,,,,,,,No Match
Future Operationally Resilient Ground Evolution,FORGE,Space Force,nan,"Secret, TS/SCI",High,$600M,nan,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,nan,nan,Raytheon (Mission Data Apps); BAE (C2),C5ISR,nan,Provided,Agile SW; data scientists; systems integrators,N0001918C1021,FORGE,Low,0.0,,Systems Engineering,Agile SW; data scientists; systems integrators,2018-03-23,2024-12-30,2024-12-30,"$33,901,159.56","$8,688,654,906.89","EAST HARTFORD, CONNECTICUT",336412,2840,QN1BCFY7JDJ5,RTX CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2018-03-23,Aircraft Engine and Engine Parts Manufacturing,,,,,,,,No Match
GBS (Global Broadcast Service),GBS,DISA,Low,TS/SCI,Low,nan,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),nan,nan,L3Harris (historical),C5ISR,nan,“Clearance overview & site priorities”,SATCOM engineers; RF tech; network admin,N0003022C2001,GBS,Medium,1.0,,,SATCOM engineers; RF tech; network admin,2021-10-01,2029-09-08,2029-09-08,,"$421,512,821.00","ANAHEIM, CALIFORNIA",541330,H914,JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,STRATEGIC SYSTEMS PROGRAMS (Department of the Navy),NONE,2021-10-01,Engineering Services,,,,,,,,No Match
GBSD Sentinel Missile Modernization,GBSD,Air Force,nan,TS/SCI,High,nan,nan,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,nan,nan,Northrop Grumman,Weapon Systems,nan,GBSD/Sentinel program reference,Cleared engineers; mission ops; comms; C2 engineering,FA821920C0006,GBSD,High,6.0,,,Cleared engineers; mission ops; comms; C2 engineering,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,nan,Secret,High,$526M,nan,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,nan,nan,CACI,IT Ops,nan,Provided,Network engineers; cabling; voice techs; modernization,W15QKN15C0049,GENMOD/VMOD,Medium,2.0,,Network Administration,Network engineers; cabling; voice techs; modernization,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
GENMOD / VMOD (Network Modernization),GENMOD,Army,nan,Secret,High,$526M,nan,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,nan,nan,CACI,IT Ops,nan,Provided,Network installers; voice; cyber,W15QKN15C0049,GENMOD,Medium,2.0,,Network Administration,Network installers; voice; cyber,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,nan,Secret,Medium,nan,nan,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,nan,nan,nan,CACI,IT Ops,nan,Provided,Field service techs; voice/network modernization,W15QKN15C0049,VMOD 2,Medium,2.0,,,Field service techs; voice/network modernization,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
Global Broadcast Service,GBS,DISA,nan,TS/SCI,Low,nan,nan,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),nan,nan,L3Harris,C5ISR,nan,Site priorities doc,SATCOM engineer; RF tech; network admin,N0003022C2001,GBS,Medium,1.0,,,SATCOM engineer; RF tech; network admin,2021-10-01,2029-09-08,2029-09-08,,"$421,512,821.00","ANAHEIM, CALIFORNIA",541330,H914,JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,STRATEGIC SYSTEMS PROGRAMS (Department of the Navy),NONE,2021-10-01,Engineering Services,,,,,,,,No Match
Global Command and Control System – Joint,GCCS-J,DISA,nan,TS/SCI,Medium,nan,nan,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),nan,nan,Northrop Grumman,C5ISR,nan,BD tracker reference,C2 engineers; SW dev; network ops,FA821920C0006,GCCS-J,Low,0.0,,,C2 engineers; SW dev; network ops,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,nan,"January 1, 2019 → January 1, 2027",Leidos,C5ISR,nan,Apex Systems DISA support,SW dev; systems engineering,HHSN261200800001E,GCCS-J,Low,0.0,,,SW dev; systems engineering,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,nan,"Secret, TS/SCI",High,$6.5B,nan,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,nan,nan,Leidos,Cyber,nan,“Provided NOC techs… subs for surge”,NOC ops; network engineers; cyber analysts; ServiceNow,NNJ09HD46C,GSM-O II,Medium,1.0,,,NOC ops; network engineers; cyber analysts; ServiceNow,2008-11-07,2018-02-28,2018-02-28,"$667,321,349.00","$1,306,805,321.14","HOUSTON, TEXAS",541712,AR45,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2008-11-07,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,nan,Top Secret,High,$6.5B,nan,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,nan,nan,Leidos,IT Ops,nan,Row text,NOC techs; cyber analysts; ServiceNow devs,NNJ09HD46C,GSM-O II,Medium,1.0,,,NOC techs; cyber analysts; ServiceNow devs,2008-11-07,2018-02-28,2018-02-28,"$667,321,349.00","$1,306,805,321.14","HOUSTON, TEXAS",541712,AR45,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2008-11-07,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
Global Service Management – Operations II,GSM-O II,DISA,nan,TS/SCI,High,$6.52B,nan,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,nan,nan,Leidos,Cyber,nan,Provided quote,NOC tech; cyber ops; network engr; ServiceNow,89243318CFE000003,GSM-O II,Medium,1.0,,,NOC tech; cyber ops; network engr; ServiceNow,2018-12-31,2028-12-30,2028-12-30,"$364,720,922.00","$960,260,804.00","MORGANTOWN, WEST VIRGINIA",541715,R425,MYKLJHTX3MM7,"LEIDOS, INC.",NATIONAL ENERGY TECHNOLOGY LABORATORY (Department of Energy),NONE,2018-06-25,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,,,,,,,No Match
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,Current,"January 1, 2018 → January 1, 2028",Leidos,IT Ops,nan,Provided,NOC; cyber ops; servicedesk; ServiceNow,89243318CFE000003,GSM-O II,Medium,1.0,,IT Operations,NOC; cyber ops; servicedesk; ServiceNow,2018-12-31,2028-12-30,2028-12-30,"$364,720,922.00","$960,260,804.00","MORGANTOWN, WEST VIRGINIA",541715,R425,MYKLJHTX3MM7,"LEIDOS, INC.",NATIONAL ENERGY TECHNOLOGY LABORATORY (Department of Energy),NONE,2018-06-25,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,,,,,,,No Match
